game_id,game_date,scheduled_time_et,home_team,away_team,venue,game_status,is_final,game_type,game_type_source,has_any_pregame_snapshot,has_training_pregame_snapshot,has_current_pregame_snapshot,home_pitcher_id,home_pitcher_name,home_actual_k,home_ip,home_bf,home_pitches,home_in_official_training_dataset,away_pitcher_id,away_pitcher_name,away_actual_k,away_ip,away_bf,away_pitches,away_in_official_training_dataset,defendible_training_observation_count,source_record_count
"831475","2026-03-01","1:05 PM ET","Washington Nationals","Miami Marlins","CACTI Park of the Palm Beaches","Final","true","S","MLB_STATS_API_SCHEDULE","false","false","false","695418","Brad Lord","2","2.1","12","43","false","663978","Chris Paddack","3","2.0","7","42","false","0","1"
"831477","2026-03-01","1:05 PM ET","St. Louis Cardinals","Pittsburgh Pirates","Roger Dean Chevrolet Stadium","Final","true","S","MLB_STATS_API_SCHEDULE","false","false","false","681517","Kyle Leahy","1","2.2","14","54","false","682995","Hunter Barco","3","3.0","10","44","false","0","1"
"831531","2026-03-01","1:05 PM ET","Minnesota Twins","Atlanta Braves","Lee Health Sports Complex","Final","true","S","MLB_STATS_API_SCHEDULE","false","false","false","690953","Mick Abel","6","3.0","10","43","false","656550","Grant Holmes","2","2.2","11","46","false","0","1"
"831578","2026-03-01","1:05 PM ET","Philadelphia Phillies","New York Yankees","BayCare Ballpark","Final","true","S","MLB_STATS_API_SCHEDULE","false","false","false","691725","Andrew Painter","1","2.0","6","20","false","701542","Will Warren","3","3.2","12","50","false","0","1"
"831579","2026-03-01","1:10 PM ET","New York Mets","Houston Astros","Clover Park","Final","true","S","MLB_STATS_API_SCHEDULE","false","false","false","605280","Clay Holmes","4","4.0","16","63","false","669920","Jason Alexander","1","2.0","7","28","false","0","1"
"831585","2026-03-01","1:05 PM ET","Atlanta Braves","Tampa Bay Rays","CoolToday Park","Final","true","S","MLB_STATS_API_SCHEDULE","false","false","false","625643","Reynaldo López","3","3.0","11","42","false","656876","Drew Rasmussen","1","3.0","9","36","false","0","1"
"831638","2026-03-01","1:05 PM ET","Boston Red Sox","Baltimore Orioles","JetBlue Park","Final","true","S","MLB_STATS_API_SCHEDULE","false","false","false","624133","Ranger Suarez","2","3.0","11","45","false","605135","Chris Bassitt","0","2.0","10","40","false","0","1"
"831639","2026-03-01","1:05 PM ET","Detroit Tigers","Toronto Blue Jays","Publix Field at Joker Marchant Stadium","Final","true","S","MLB_STATS_API_SCHEDULE","false","false","false","669373","Tarik Skubal","1","3.0","12","44","false","814804","Grant Rogers","3","3.0","9","27","false","0","1"
"831721","2026-03-01","3:10 PM ET","Seattle Mariners","Texas Rangers","Peoria Stadium","Final","true","S","MLB_STATS_API_SCHEDULE","false","false","false","669302","Logan Gilbert","3","2.2","10","44","false","656641","Jacob Latz","1","3.0","12","41","false","0","1"
"831768","2026-03-01","3:05 PM ET","San Francisco Giants","San Diego Padres","Scottsdale Stadium","Final","true","S","MLB_STATS_API_SCHEDULE","false","false","false","657277","Logan Webb","3","3.0","11","38","false","608566","Germán Márquez","2","2.0","10","37","false","0","1"
"831794","2026-03-01","3:05 PM ET","Kansas City Royals","Milwaukee Brewers","Surprise Stadium","Final","true","S","MLB_STATS_API_SCHEDULE","false","false","false","663460","Kris Bubic","3","2.0","10","31","false","694477","Chad Patrick","2","2.0","10","41","false","0","1"
"831827","2026-03-01","3:05 PM ET","Los Angeles Dodgers","Los Angeles Angels","Camelback Ranch","Final","true","S","MLB_STATS_API_SCHEDULE","false","false","false","689017","Landon Knack","1","0.2","7","26","false","672282","Reid Detmers","2","3.0","16","61","false","0","1"
