scenario,definition,game_id,pitcher_id,game_date,side,feature,stored_value,reconstructed_clean,reconstructed_historical_formula,absolute_error,exact_match,material_difference,target_game_excluded,future_games_excluded,target_actual_k_used,target_boxscore_used
"DATE_ONLY","LAST3_STARTS","822696","676917","2026-08-13","home","last3Ks1","8","8","8","0","true","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822696","676917","2026-08-13","home","last3Ks2","3","3","3","0","true","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822696","676917","2026-08-13","home","last3Ks3","3","3","3","0","true","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822696","676917","2026-08-13","home","last3Ip1","6","6","6","0","true","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822696","676917","2026-08-13","home","last3Ip2","6","6","6","0","true","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822696","676917","2026-08-13","home","last3Ip3","6","6","6","0","true","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822696","676917","2026-08-13","home","last3Bf1","26","26","26","0","true","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822696","676917","2026-08-13","home","last3Bf2","23","23","23","0","true","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822696","676917","2026-08-13","home","last3Bf3","25","25","25","0","true","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822696","676917","2026-08-13","home","last5KsAvg","6.2","6.2","6.2","0","true","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822696","676917","2026-08-13","home","last5KsStd","2.64","2.6381811916545836","2.64","0.0018188083454164783","false","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822696","676917","2026-08-13","home","last5IpAvg","6","6","6","0","true","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822696","676917","2026-08-13","home","last5BfAvg","23.8","23.8","23.8","0","true","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822696","676917","2026-08-13","home","last5PitchCountAvg","95","94.6","95","0.4000000000000057","false","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822696","676917","2026-08-13","home","pitchesLast3Starts","288","288","288","0","true","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822696","676917","2026-08-13","home","daysSinceLastStart","6","6","6","0","true","false","true","true","false","false"
"STRICT","LAST3_STARTS","822696","676917","2026-08-13","home","last3Ks1","8","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822696","676917","2026-08-13","home","last3Ks2","3","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822696","676917","2026-08-13","home","last3Ks3","3","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822696","676917","2026-08-13","home","last3Ip1","6","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822696","676917","2026-08-13","home","last3Ip2","6","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822696","676917","2026-08-13","home","last3Ip3","6","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822696","676917","2026-08-13","home","last3Bf1","26","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822696","676917","2026-08-13","home","last3Bf2","23","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822696","676917","2026-08-13","home","last3Bf3","25","","","","false","false","true","true","false","false"
