dimension,key,pitcher_games_total,pitchers_unique,games_unique,last3_starts_complete,last5_starts_complete,last3_appearances_complete,last5_appearances_complete,last3_starts_pct,last5_starts_pct,last3_appearances_pct,last5_appearances_pct
"overall","ALL","265","156","260","236","227","251","246","89.05660377358491","85.66037735849056","94.71698113207547","92.83018867924528"
"side","home","260","155","260","231","222","246","241","88.84615384615384","85.38461538461539","94.61538461538461","92.6923076923077"
"side","away","5","5","5","5","5","5","5","100","100","100","100"
"month","2026-06","83","78","83","68","67","77","75","81.92771084337349","80.72289156626506","92.7710843373494","90.36144578313252"
"month","2026-07","170","121","170","156","148","162","159","91.76470588235294","87.05882352941177","95.29411764705883","93.52941176470588"
"month","2026-08","12","12","7","12","12","12","12","100","100","100","100"
"pitcher","453286","1","1","1","1","1","1","1","100","100","100","100"
"pitcher","518876","3","1","3","3","3","3","3","100","100","100","100"
"pitcher","519242","1","1","1","1","1","1","1","100","100","100","100"
"pitcher","527048","1","1","1","1","1","1","1","100","100","100","100"
"pitcher","543037","1","1","1","1","1","1","1","100","100","100","100"
"pitcher","543135","1","1","1","1","1","1","1","100","100","100","100"
"pitcher","543243","1","1","1","1","1","1","1","100","100","100","100"
"pitcher","547179","2","1","2","2","2","2","2","100","100","100","100"
"pitcher","571510","1","1","1","1","1","1","1","100","100","100","100"
"pitcher","571578","1","1","1","1","1","1","1","100","100","100","100"
"pitcher","571945","1","1","1","1","1","1","1","100","100","100","100"
"pitcher","592332","2","1","2","2","2","2","2","100","100","100","100"
"pitcher","592662","2","1","2","2","2","2","2","100","100","100","100"
"pitcher","593958","4","1","4","4","4","4","4","100","100","100","100"
"pitcher","593974","1","1","1","0","0","1","1","0","0","100","100"
"pitcher","594798","1","1","1","1","1","1","1","100","100","100","100"
"pitcher","605540","1","1","1","1","1","1","1","100","100","100","100"
"pitcher","606996","1","1","1","0","0","1","1","0","0","100","100"
"pitcher","607067","2","1","2","2","2","2","2","100","100","100","100"
"pitcher","607259","2","1","2","2","2","2","2","100","100","100","100"
"pitcher","607536","1","1","1","1","1","1","1","100","100","100","100"
"pitcher","607625","2","1","2","2","2","2","2","100","100","100","100"
"pitcher","608566","2","1","2","2","2","2","2","100","100","100","100"
"pitcher","615698","1","1","1","0","0","1","1","0","0","100","100"
"pitcher","621111","3","1","3","3","3","3","3","100","100","100","100"
"pitcher","622491","2","1","2","2","2","2","2","100","100","100","100"
"pitcher","624133","1","1","1","1","1","1","1","100","100","100","100"
"pitcher","625643","2","1","2","2","2","2","2","100","100","100","100"
"pitcher","640455","2","1","2","2","1","2","2","100","50","100","100"
"pitcher","641743","2","1","2","2","2","2","2","100","100","100","100"
"pitcher","641778","1","1","1","1","1","1","1","100","100","100","100"
"pitcher","641793","1","1","1","1","1","1","1","100","100","100","100"
"pitcher","641927","1","1","1","1","1","1","1","100","100","100","100"
"pitcher","643377","2","1","2","2","2","2","2","100","100","100","100"
"pitcher","645261","1","1","1","1","1","1","1","100","100","100","100"
"pitcher","650633","2","1","2","2","2","2","2","100","100","100","100"
"pitcher","650644","1","1","1","1","1","1","1","100","100","100","100"
"pitcher","656427","2","1","2","2","2","2","2","100","100","100","100"
"pitcher","656492","2","1","2","2","2","2","2","100","100","100","100"
"pitcher","656550","1","1","1","1","1","1","1","100","100","100","100"
"pitcher","656605","3","1","3","3","3","3","3","100","100","100","100"
"pitcher","656849","1","1","1","1","1","1","1","100","100","100","100"
"pitcher","656876","2","1","2","2","2","2","2","100","100","100","100"
"pitcher","657277","4","1","4","4","4","4","4","100","100","100","100"
"pitcher","657746","2","1","2","2","2","2","2","100","100","100","100"
"pitcher","660271","1","1","1","1","1","1","1","100","100","100","100"
"pitcher","663372","2","1","2","2","2","2","2","100","100","100","100"
"pitcher","663436","2","1","2","2","2","2","2","100","100","100","100"
"pitcher","663542","1","1","1","1","0","1","1","100","0","100","100"
"pitcher","663554","2","1","2","2","2","2","2","100","100","100","100"
"pitcher","663556","3","1","3","3","3","3","3","100","100","100","100"
"pitcher","663567","3","1","3","3","3","3","3","100","100","100","100"
"pitcher","663568","1","1","1","1","1","1","1","100","100","100","100"
"pitcher","663776","1","1","1","0","0","0","0","0","0","0","0"
"pitcher","663903","2","1","2","2","2","2","2","100","100","100","100"
"pitcher","663969","2","1","2","2","2","2","2","100","100","100","100"
"pitcher","664285","2","1","2","2","2","2","2","100","100","100","100"
"pitcher","665152","1","1","1","0","0","1","0","0","0","100","0"
"pitcher","665871","1","1","1","1","0","1","1","100","0","100","100"
"pitcher","666157","3","1","3","3","3","3","3","100","100","100","100"
"pitcher","666200","2","1","2","2","2","2","2","100","100","100","100"
"pitcher","667755","1","1","1","1","1","1","1","100","100","100","100"
"pitcher","668881","1","1","1","0","0","0","0","0","0","0","0"
"pitcher","668909","3","1","3","3","3","3","3","100","100","100","100"
"pitcher","668984","1","1","1","0","0","1","1","0","0","100","100"
"pitcher","669022","1","1","1","1","1","1","1","100","100","100","100"
"pitcher","669160","2","1","2","2","2","2","2","100","100","100","100"
"pitcher","669302","2","1","2","2","2","2","2","100","100","100","100"
"pitcher","669358","3","1","3","3","3","3","3","100","100","100","100"
"pitcher","669373","4","1","4","4","4","4","4","100","100","100","100"
"pitcher","669432","3","1","3","3","3","3","3","100","100","100","100"
"pitcher","669456","2","1","2","1","1","1","1","50","50","50","50"
"pitcher","669461","2","1","2","2","2","2","2","100","100","100","100"
"pitcher","669467","2","1","2","2","2","2","2","100","100","100","100"
"pitcher","669923","1","1","1","1","1","1","1","100","100","100","100"
"pitcher","671096","2","1","2","2","2","2","2","100","100","100","100"
"pitcher","671737","3","1","3","3","3","3","3","100","100","100","100"
"pitcher","672282","4","1","4","4","4","4","4","100","100","100","100"
"pitcher","672335","2","1","2","0","0","2","2","0","0","100","100"
"pitcher","672456","1","1","1","1","1","1","1","100","100","100","100"
"pitcher","673540","1","1","1","1","1","1","0","100","100","100","0"
"pitcher","674841","1","1","1","1","1","1","1","100","100","100","100"
"pitcher","675512","1","1","1","1","1","1","1","100","100","100","100"
"pitcher","675660","1","1","1","1","1","1","1","100","100","100","100"
"pitcher","676083","1","1","1","1","1","1","1","100","100","100","100"
"pitcher","676106","2","1","2","2","2","2","2","100","100","100","100"
"pitcher","676282","3","1","3","3","3","3","3","100","100","100","100"
