game_id,pitcher_id,game_date,side,last3_starts,last3_appearances,clean_features,identity_source,identity_temporal_verification
"822696","676917","2026-08-13","home","[{""gameId"":""822699"",""date"":""2026-08-07"",""pitcherId"":""676917"",""side"":""home"",""started"":true,""source"":""BOXSCORE_START"",""k"":8,""ip"":""6.0"",""bf"":26,""pitches"":100,""competition"":""MLB_REGULAR_INFERRED""},{""gameId"":""824891"",""date"":""2026-08-02"",""pitcherId"":""676917"",""side"":""away"",""started"":true,""source"":""BOXSCORE_START"",""k"":3,""ip"":""6.0"",""bf"":23,""pitches"":90,""competition"":""MLB_REGULAR_INFERRED""},{""gameId"":""822703"",""date"":""2026-07-28"",""pitcherId"":""676917"",""side"":""home"",""started"":true,""source"":""BOXSCORE_START"",""k"":3,""ip"":""6.0"",""bf"":25,""pitches"":98,""competition"":""MLB_REGULAR_INFERRED""}]","[{""gameId"":""822699"",""date"":""2026-08-07"",""pitcherId"":""676917"",""side"":""home"",""started"":true,""source"":""LIVE_APPEARANCE"",""k"":8,""ip"":""6.0"",""bf"":26,""pitches"":100,""competition"":""MLB_REGULAR_INFERRED""},{""gameId"":""824891"",""date"":""2026-08-02"",""pitcherId"":""676917"",""side"":""away"",""started"":true,""source"":""LIVE_APPEARANCE"",""k"":3,""ip"":""6.0"",""bf"":23,""pitches"":90,""competition"":""MLB_REGULAR_INFERRED""},{""gameId"":""822703"",""date"":""2026-07-28"",""pitcherId"":""676917"",""side"":""home"",""started"":true,""source"":""LIVE_APPEARANCE"",""k"":3,""ip"":""6.0"",""bf"":25,""pitches"":98,""competition"":""MLB_REGULAR_INFERRED""}]","{""last3Ks1"":8,""last3Ks2"":3,""last3Ks3"":3,""last3Ip1"":6,""last3Ip2"":6,""last3Ip3"":6,""last3Bf1"":26,""last3Bf2"":23,""last3Bf3"":25,""last5KsAvg"":6.2,""last5KsStd"":2.6381811916545836,""last5IpAvg"":6,""last5BfAvg"":23.8,""last5PitchCountAvg"":94.6,""pitchesLast3Starts"":288,""pitchesLast3Appearances"":288,""daysSinceLastStart"":6,""daysSinceLastAppearance"":6}","LINESCORE_DEFENSE_PITCHER","NOT_VERIFIABLE"
"822702","641793","2026-07-29","home","[{""gameId"":""824979"",""date"":""2026-07-18"",""pitcherId"":""641793"",""side"":""away"",""started"":true,""source"":""BOXSCORE_START"",""k"":4,""ip"":""6.0"",""bf"":30,""pitches"":96,""competition"":""MLB_REGULAR_INFERRED""},{""gameId"":""824821"",""date"":""2026-06-28"",""pitcherId"":""641793"",""side"":""away"",""started"":true,""source"":""BOXSCORE_START"",""k"":3,""ip"":""5.0"",""bf"":20,""pitches"":82,""competition"":""MLB_REGULAR_INFERRED""},{""gameId"":""822721"",""date"":""2026-06-17"",""pitcherId"":""641793"",""side"":""home"",""started"":true,""source"":""BOXSCORE_START"",""k"":2,""ip"":""5.0"",""bf"":24,""pitches"":99,""competition"":""MLB_REGULAR_INFERRED""}]","[{""gameId"":""822707"",""date"":""2026-07-24"",""pitcherId"":""641793"",""side"":""home"",""started"":false,""source"":""LIVE_APPEARANCE"",""k"":5,""ip"":""5.0"",""bf"":20,""pitches"":77,""competition"":""MLB_REGULAR_INFERRED""},{""gameId"":""824979"",""date"":""2026-07-18"",""pitcherId"":""641793"",""side"":""away"",""started"":true,""source"":""LIVE_APPEARANCE"",""k"":4,""ip"":""6.0"",""bf"":30,""pitches"":96,""competition"":""MLB_REGULAR_INFERRED""},{""gameId"":""822709"",""date"":""2026-07-10"",""pitcherId"":""641793"",""side"":""home"",""started"":false,""source"":""LIVE_APPEARANCE"",""k"":5,""ip"":""4.0"",""bf"":15,""pitches"":69,""competition"":""MLB_REGULAR_INFERRED""}]","{""last3Ks1"":4,""last3Ks2"":3,""last3Ks3"":2,""last3Ip1"":6,""last3Ip2"":5,""last3Ip3"":5,""last3Bf1"":30,""last3Bf2"":20,""last3Bf3"":24,""last5KsAvg"":3.6,""last5KsStd"":1.019803902718557,""last5IpAvg"":5.4,""last5BfAvg"":23.4,""last5PitchCountAvg"":85,""pitchesLast3Starts"":277,""pitchesLast3Appearances"":242,""daysSinceLastStart"":11,""daysSinceLastAppearance"":5}","LINESCORE_DEFENSE_PITCHER","NOT_VERIFIABLE"
"822707","687223","2026-07-24","home","[{""gameId"":""824329"",""date"":""2026-07-21"",""pitcherId"":""687223"",""side"":""away"",""started"":true,""source"":""BOXSCORE_START"",""k"":2,""ip"":""1.2"",""bf"":11,""pitches"":36,""competition"":""MLB_REGULAR_INFERRED""},{""gameId"":""822709"",""date"":""2026-07-10"",""pitcherId"":""687223"",""side"":""home"",""started"":true,""source"":""BOXSCORE_START"",""k"":4,""ip"":""3.0"",""bf"":12,""pitches"":45,""competition"":""MLB_REGULAR_INFERRED""},{""gameId"":""822716"",""date"":""2026-07-04"",""pitcherId"":""687223"",""side"":""home"",""started"":true,""source"":""BOXSCORE_START"",""k"":3,""ip"":""1.0"",""bf"":8,""pitches"":37,""competition"":""MLB_REGULAR_INFERRED""}]","[{""gameId"":""824329"",""date"":""2026-07-21"",""pitcherId"":""687223"",""side"":""away"",""started"":true,""source"":""LIVE_APPEARANCE"",""k"":2,""ip"":""1.2"",""bf"":11,""pitches"":36,""competition"":""MLB_REGULAR_INFERRED""},{""gameId"":""824979"",""date"":""2026-07-18"",""pitcherId"":""687223"",""side"":""away"",""started"":false,""source"":""LIVE_APPEARANCE"",""k"":1,""ip"":""0.1"",""bf"":3,""pitches"":7,""competition"":""MLB_REGULAR_INFERRED""},{""gameId"":""822709"",""date"":""2026-07-10"",""pitcherId"":""687223"",""side"":""home"",""started"":true,""source"":""LIVE_APPEARANCE"",""k"":4,""ip"":""3.0"",""bf"":12,""pitches"":45,""competition"":""MLB_REGULAR_INFERRED""}]","{""last3Ks1"":2,""last3Ks2"":4,""last3Ks3"":3,""last3Ip1"":1.6666666666666667,""last3Ip2"":3,""last3Ip3"":1,""last3Bf1"":11,""last3Bf2"":12,""last3Bf3"":8,""last5KsAvg"":3,""last5KsStd"":0.7071067811865476,""last5IpAvg"":2.25,""last5BfAvg"":10.75,""last5PitchCountAvg"":44,""pitchesLast3Starts"":118,""pitchesLast3Appearances"":88,""daysSinceLastStart"":3,""daysSinceLastAppearance"":3}","LINESCORE_DEFENSE_PITCHER","NOT_VERIFIABLE"
"822708","676917","2026-07-12","home","[{""gameId"":""822715"",""date"":""2026-07-05"",""pitcherId"":""676917"",""side"":""home"",""started"":true,""source"":""BOXSCORE_START"",""k"":3,""ip"":""2.1"",""bf"":15,""pitches"":63,""competition"":""MLB_REGULAR_INFERRED""},{""gameId"":""822717"",""date"":""2026-06-25"",""pitcherId"":""676917"",""side"":""home"",""started"":true,""source"":""BOXSCORE_START"",""k"":7,""ip"":""6.0"",""bf"":25,""pitches"":97,""competition"":""MLB_REGULAR_INFERRED""},{""gameId"":""822967"",""date"":""2026-06-20"",""pitcherId"":""676917"",""side"":""away"",""started"":true,""source"":""BOXSCORE_START"",""k"":1,""ip"":""2.2"",""bf"":16,""pitches"":68,""competition"":""MLB_REGULAR_INFERRED""}]","[{""gameId"":""822715"",""date"":""2026-07-05"",""pitcherId"":""676917"",""side"":""home"",""started"":true,""source"":""LIVE_APPEARANCE"",""k"":3,""ip"":""2.1"",""bf"":15,""pitches"":63,""competition"":""MLB_REGULAR_INFERRED""},{""gameId"":""824742"",""date"":""2026-06-30"",""pitcherId"":""676917"",""side"":""away"",""started"":false,""source"":""LIVE_APPEARANCE"",""k"":13,""ip"":""7.0"",""bf"":23,""pitches"":100,""competition"":""MLB_REGULAR_INFERRED""},{""gameId"":""822717"",""date"":""2026-06-25"",""pitcherId"":""676917"",""side"":""home"",""started"":true,""source"":""LIVE_APPEARANCE"",""k"":7,""ip"":""6.0"",""bf"":25,""pitches"":97,""competition"":""MLB_REGULAR_INFERRED""}]","{""last3Ks1"":3,""last3Ks2"":7,""last3Ks3"":1,""last3Ip1"":2.3333333333333335,""last3Ip2"":6,""last3Ip3"":2.6666666666666665,""last3Bf1"":15,""last3Bf2"":25,""last3Bf3"":16,""last5KsAvg"":3.8,""last5KsStd"":2.3151673805580453,""last5IpAvg"":4.2,""last5BfAvg"":20.2,""last5PitchCountAvg"":81,""pitchesLast3Starts"":228,""pitchesLast3Appearances"":260,""daysSinceLastStart"":7,""daysSinceLastAppearance"":7}","LINESCORE_DEFENSE_PITCHER","NOT_VERIFIABLE"
"822709","687223","2026-07-10","home","[{""gameId"":""822716"",""date"":""2026-07-04"",""pitcherId"":""687223"",""side"":""home"",""started"":true,""source"":""BOXSCORE_START"",""k"":3,""ip"":""1.0"",""bf"":8,""pitches"":37,""competition"":""MLB_REGULAR_INFERRED""},{""gameId"":""822719"",""date"":""2026-06-24"",""pitcherId"":""687223"",""side"":""home"",""started"":true,""source"":""BOXSCORE_START"",""k"":3,""ip"":""3.1"",""bf"":12,""pitches"":58,""competition"":""MLB_REGULAR_INFERRED""}]","[{""gameId"":""822713"",""date"":""2026-07-07"",""pitcherId"":""687223"",""side"":""home"",""started"":false,""source"":""LIVE_APPEARANCE"",""k"":0,""ip"":""1.0"",""bf"":3,""pitches"":16,""competition"":""MLB_REGULAR_INFERRED""},{""gameId"":""822716"",""date"":""2026-07-04"",""pitcherId"":""687223"",""side"":""home"",""started"":true,""source"":""LIVE_APPEARANCE"",""k"":3,""ip"":""1.0"",""bf"":8,""pitches"":37,""competition"":""MLB_REGULAR_INFERRED""},{""gameId"":""824740"",""date"":""2026-07-01"",""pitcherId"":""687223"",""side"":""away"",""started"":false,""source"":""LIVE_APPEARANCE"",""k"":1,""ip"":""1.0"",""bf"":5,""pitches"":16,""competition"":""MLB_REGULAR_INFERRED""}]","{""last3Ks1"":3,""last3Ks2"":3,""last3Ks3"":null,""last3Ip1"":1,""last3Ip2"":3.3333333333333335,""last3Ip3"":null,""last3Bf1"":8,""last3Bf2"":12,""last3Bf3"":null,""last5KsAvg"":3,""last5KsStd"":0,""last5IpAvg"":2.166666666666667,""last5BfAvg"":10,""last5PitchCountAvg"":47.5,""pitchesLast3Starts"":95,""pitchesLast3Appearances"":69,""daysSinceLastStart"":6,""daysSinceLastAppearance"":3}","LINESCORE_DEFENSE_PITCHER","NOT_VERIFIABLE"
"822710","656492","2026-07-08","home","[{""gameId"":""822714"",""date"":""2026-07-03"",""pitcherId"":""656492"",""side"":""home"",""started"":true,""source"":""BOXSCORE_START"",""k"":2,""ip"":""5.0"",""bf"":20,""pitches"":83,""competition"":""MLB_REGULAR_INFERRED""},{""gameId"":""822720"",""date"":""2026-06-22"",""pitcherId"":""656492"",""side"":""home"",""started"":true,""source"":""BOXSCORE_START"",""k"":9,""ip"":""7.1"",""bf"":27,""pitches"":105,""competition"":""MLB_REGULAR_INFERRED""},{""gameId"":""822723"",""date"":""2026-06-16"",""pitcherId"":""656492"",""side"":""home"",""started"":true,""source"":""BOXSCORE_START"",""k"":6,""ip"":""6.0"",""bf"":26,""pitches"":100,""competition"":""MLB_REGULAR_INFERRED""}]","[{""gameId"":""822714"",""date"":""2026-07-03"",""pitcherId"":""656492"",""side"":""home"",""started"":true,""source"":""LIVE_APPEARANCE"",""k"":2,""ip"":""5.0"",""bf"":20,""pitches"":83,""competition"":""MLB_REGULAR_INFERRED""},{""gameId"":""824825"",""date"":""2026-06-27"",""pitcherId"":""656492"",""side"":""away"",""started"":false,""source"":""LIVE_APPEARANCE"",""k"":9,""ip"":""7.0"",""bf"":26,""pitches"":112,""competition"":""MLB_REGULAR_INFERRED""},{""gameId"":""822720"",""date"":""2026-06-22"",""pitcherId"":""656492"",""side"":""home"",""started"":true,""source"":""LIVE_APPEARANCE"",""k"":9,""ip"":""7.1"",""bf"":27,""pitches"":105,""competition"":""MLB_REGULAR_INFERRED""}]","{""last3Ks1"":2,""last3Ks2"":9,""last3Ks3"":6,""last3Ip1"":5,""last3Ip2"":7.333333333333333,""last3Ip3"":6,""last3Bf1"":20,""last3Bf2"":27,""last3Bf3"":26,""last5KsAvg"":5.2,""last5KsStd"":2.3151673805580453,""last5IpAvg"":5.866666666666666,""last5BfAvg"":22.8,""last5PitchCountAvg"":90,""pitchesLast3Starts"":288,""pitchesLast3Appearances"":300,""daysSinceLastStart"":5,""daysSinceLastAppearance"":5}","LINESCORE_DEFENSE_PITCHER","NOT_VERIFIABLE"
"822712","571945","2026-07-06","home","[{""gameId"":""824741"",""date"":""2026-06-29"",""pitcherId"":""571945"",""side"":""away"",""started"":true,""source"":""BOXSCORE_START"",""k"":3,""ip"":""7.0"",""bf"":30,""pitches"":97,""competition"":""MLB_REGULAR_INFERRED""},{""gameId"":""822740"",""date"":""2026-05-06"",""pitcherId"":""571945"",""side"":""home"",""started"":true,""source"":""BOXSCORE_START"",""k"":3,""ip"":""5.1"",""bf"":19,""pitches"":74,""competition"":""MLB_REGULAR_INFERRED""},{""gameId"":""822753"",""date"":""2026-04-08"",""pitcherId"":""571945"",""side"":""home"",""started"":true,""source"":""BOXSCORE_START"",""k"":3,""ip"":""3.0"",""bf"":17,""pitches"":55,""competition"":""MLB_REGULAR_INFERRED""}]","[{""gameId"":""824741"",""date"":""2026-06-29"",""pitcherId"":""571945"",""side"":""away"",""started"":true,""source"":""LIVE_APPEARANCE"",""k"":3,""ip"":""7.0"",""bf"":30,""pitches"":97,""competition"":""MLB_REGULAR_INFERRED""},{""gameId"":""822719"",""date"":""2026-06-24"",""pitcherId"":""571945"",""side"":""home"",""started"":false,""source"":""LIVE_APPEARANCE"",""k"":1,""ip"":""3.1"",""bf"":16,""pitches"":60,""competition"":""MLB_REGULAR_INFERRED""},{""gameId"":""822966"",""date"":""2026-06-19"",""pitcherId"":""571945"",""side"":""away"",""started"":false,""source"":""LIVE_APPEARANCE"",""k"":2,""ip"":""6.0"",""bf"":26,""pitches"":85,""competition"":""MLB_REGULAR_INFERRED""}]","{""last3Ks1"":3,""last3Ks2"":3,""last3Ks3"":3,""last3Ip1"":7,""last3Ip2"":5.333333333333333,""last3Ip3"":3,""last3Bf1"":30,""last3Bf2"":19,""last3Bf3"":17,""last5KsAvg"":3.4,""last5KsStd"":0.4898979485566356,""last5IpAvg"":4.933333333333333,""last5BfAvg"":23.2,""last5PitchCountAvg"":82,""pitchesLast3Starts"":226,""pitchesLast3Appearances"":242,""daysSinceLastStart"":7,""daysSinceLastAppearance"":7}","LINESCORE_DEFENSE_PITCHER","NOT_VERIFIABLE"
"822713","674841","2026-07-07","home","[{""gameId"":""824824"",""date"":""2026-06-26"",""pitcherId"":""674841"",""side"":""away"",""started"":true,""source"":""BOXSCORE_START"",""k"":5,""ip"":""4.1"",""bf"":20,""pitches"":88,""competition"":""MLB_REGULAR_INFERRED""},{""gameId"":""822968"",""date"":""2026-06-21"",""pitcherId"":""674841"",""side"":""away"",""started"":true,""source"":""BOXSCORE_START"",""k"":6,""ip"":""4.0"",""bf"":16,""pitches"":68,""competition"":""MLB_REGULAR_INFERRED""},{""gameId"":""822724"",""date"":""2026-06-15"",""pitcherId"":""674841"",""side"":""home"",""started"":true,""source"":""BOXSCORE_START"",""k"":5,""ip"":""4.0"",""bf"":18,""pitches"":58,""competition"":""MLB_REGULAR_INFERRED""}]","[{""gameId"":""824740"",""date"":""2026-07-01"",""pitcherId"":""674841"",""side"":""away"",""started"":false,""source"":""LIVE_APPEARANCE"",""k"":6,""ip"":""4.2"",""bf"":17,""pitches"":74,""competition"":""MLB_REGULAR_INFERRED""},{""gameId"":""824824"",""date"":""2026-06-26"",""pitcherId"":""674841"",""side"":""away"",""started"":true,""source"":""LIVE_APPEARANCE"",""k"":5,""ip"":""4.1"",""bf"":20,""pitches"":88,""competition"":""MLB_REGULAR_INFERRED""},{""gameId"":""822968"",""date"":""2026-06-21"",""pitcherId"":""674841"",""side"":""away"",""started"":true,""source"":""LIVE_APPEARANCE"",""k"":6,""ip"":""4.0"",""bf"":16,""pitches"":68,""competition"":""MLB_REGULAR_INFERRED""}]","{""last3Ks1"":5,""last3Ks2"":6,""last3Ks3"":5,""last3Ip1"":4.333333333333333,""last3Ip2"":4,""last3Ip3"":4,""last3Bf1"":20,""last3Bf2"":16,""last3Bf3"":18,""last5KsAvg"":5,""last5KsStd"":0.6324555320336759,""last5IpAvg"":4.2,""last5BfAvg"":18.6,""last5PitchCountAvg"":77.2,""pitchesLast3Starts"":214,""pitchesLast3Appearances"":230,""daysSinceLastStart"":11,""daysSinceLastAppearance"":6}","LINESCORE_DEFENSE_PITCHER","NOT_VERIFIABLE"
"822714","656492","2026-07-03","home","[{""gameId"":""822720"",""date"":""2026-06-22"",""pitcherId"":""656492"",""side"":""home"",""started"":true,""source"":""BOXSCORE_START"",""k"":9,""ip"":""7.1"",""bf"":27,""pitches"":105,""competition"":""MLB_REGULAR_INFERRED""},{""gameId"":""822723"",""date"":""2026-06-16"",""pitcherId"":""656492"",""side"":""home"",""started"":true,""source"":""BOXSCORE_START"",""k"":6,""ip"":""6.0"",""bf"":26,""pitches"":100,""competition"":""MLB_REGULAR_INFERRED""},{""gameId"":""823215"",""date"":""2026-06-10"",""pitcherId"":""656492"",""side"":""away"",""started"":true,""source"":""BOXSCORE_START"",""k"":5,""ip"":""6.0"",""bf"":24,""pitches"":100,""competition"":""MLB_REGULAR_INFERRED""}]","[{""gameId"":""824825"",""date"":""2026-06-27"",""pitcherId"":""656492"",""side"":""away"",""started"":false,""source"":""LIVE_APPEARANCE"",""k"":9,""ip"":""7.0"",""bf"":26,""pitches"":112,""competition"":""MLB_REGULAR_INFERRED""},{""gameId"":""822720"",""date"":""2026-06-22"",""pitcherId"":""656492"",""side"":""home"",""started"":true,""source"":""LIVE_APPEARANCE"",""k"":9,""ip"":""7.1"",""bf"":27,""pitches"":105,""competition"":""MLB_REGULAR_INFERRED""},{""gameId"":""822723"",""date"":""2026-06-16"",""pitcherId"":""656492"",""side"":""home"",""started"":true,""source"":""LIVE_APPEARANCE"",""k"":6,""ip"":""6.0"",""bf"":26,""pitches"":100,""competition"":""MLB_REGULAR_INFERRED""}]","{""last3Ks1"":9,""last3Ks2"":6,""last3Ks3"":5,""last3Ip1"":7.333333333333333,""last3Ip2"":6,""last3Ip3"":6,""last3Bf1"":27,""last3Bf2"":26,""last3Bf3"":24,""last5KsAvg"":5.8,""last5KsStd"":1.7204650534085253,""last5IpAvg"":5.866666666666666,""last5BfAvg"":23,""last5PitchCountAvg"":91.4,""pitchesLast3Starts"":305,""pitchesLast3Appearances"":317,""daysSinceLastStart"":11,""daysSinceLastAppearance"":6}","LINESCORE_DEFENSE_PITCHER","NOT_VERIFIABLE"
"822716","687223","2026-07-04","home","[{""gameId"":""822719"",""date"":""2026-06-24"",""pitcherId"":""687223"",""side"":""home"",""started"":true,""source"":""BOXSCORE_START"",""k"":3,""ip"":""3.1"",""bf"":12,""pitches"":58,""competition"":""MLB_REGULAR_INFERRED""}]","[{""gameId"":""824740"",""date"":""2026-07-01"",""pitcherId"":""687223"",""side"":""away"",""started"":false,""source"":""LIVE_APPEARANCE"",""k"":1,""ip"":""1.0"",""bf"":5,""pitches"":16,""competition"":""MLB_REGULAR_INFERRED""},{""gameId"":""822719"",""date"":""2026-06-24"",""pitcherId"":""687223"",""side"":""home"",""started"":true,""source"":""LIVE_APPEARANCE"",""k"":3,""ip"":""3.1"",""bf"":12,""pitches"":58,""competition"":""MLB_REGULAR_INFERRED""}]","{""last3Ks1"":3,""last3Ks2"":null,""last3Ks3"":null,""last3Ip1"":3.3333333333333335,""last3Ip2"":null,""last3Ip3"":null,""last3Bf1"":12,""last3Bf2"":null,""last3Bf3"":null,""last5KsAvg"":3,""last5KsStd"":0,""last5IpAvg"":3.3333333333333335,""last5BfAvg"":12,""last5PitchCountAvg"":58,""pitchesLast3Starts"":58,""pitchesLast3Appearances"":74,""daysSinceLastStart"":10,""daysSinceLastAppearance"":3}","LINESCORE_DEFENSE_PITCHER","NOT_VERIFIABLE"
