target_game_id,target_date,side,pitcher_id,new_feature,stored_feature,stored_value,reconstructed_value,absolute_error,exact_match,material_difference,competition_status,temporal_evidence
"822696","2026-08-13","home","676917","last3StartsKs1","last3Ks1","8","8","0","true","false","UNKNOWN","DATE_ONLY"
"822696","2026-08-13","home","676917","last3StartsKs2","last3Ks2","3","3","0","true","false","UNKNOWN","DATE_ONLY"
"822696","2026-08-13","home","676917","last3StartsKs3","last3Ks3","3","3","0","true","false","UNKNOWN","DATE_ONLY"
"822696","2026-08-13","home","676917","last3StartsIp1","last3Ip1","6","6","0","true","false","UNKNOWN","DATE_ONLY"
"822696","2026-08-13","home","676917","last3StartsIp2","last3Ip2","6","6","0","true","false","UNKNOWN","DATE_ONLY"
"822696","2026-08-13","home","676917","last3StartsIp3","last3Ip3","6","6","0","true","false","UNKNOWN","DATE_ONLY"
"822696","2026-08-13","home","676917","last3StartsBf1","last3Bf1","26","26","0","true","false","UNKNOWN","DATE_ONLY"
"822696","2026-08-13","home","676917","last3StartsBf2","last3Bf2","23","23","0","true","false","UNKNOWN","DATE_ONLY"
"822696","2026-08-13","home","676917","last3StartsBf3","last3Bf3","25","25","0","true","false","UNKNOWN","DATE_ONLY"
"822696","2026-08-13","home","676917","last5StartsKsAvg","last5KsAvg","6.2","6.2","0","true","false","UNKNOWN","DATE_ONLY"
"822696","2026-08-13","home","676917","last5StartsKsStd","last5KsStd","2.64","2.6381811916545836","0.0018188083454164783","false","false","UNKNOWN","DATE_ONLY"
"822696","2026-08-13","home","676917","last5StartsIpAvg","last5IpAvg","6","6","0","true","false","UNKNOWN","DATE_ONLY"
"822696","2026-08-13","home","676917","last5StartsBfAvg","last5BfAvg","23.8","23.8","0","true","false","UNKNOWN","DATE_ONLY"
"822696","2026-08-13","home","676917","last5StartsPitchCountAvg","last5PitchCountAvg","95","94.6","0.4000000000000057","false","false","UNKNOWN","DATE_ONLY"
"822696","2026-08-13","home","676917","pitchesLastStart","pitchesLastStart","100","100","0","true","false","UNKNOWN","DATE_ONLY"
"822696","2026-08-13","home","676917","pitchesLast3Starts","pitchesLast3Starts","288","288","0","true","false","UNKNOWN","DATE_ONLY"
"822696","2026-08-13","home","676917","daysSinceLastStart","daysSinceLastStart","6","6","0","true","false","UNKNOWN","DATE_ONLY"
"822696","2026-08-13","home","676917","last3AppearancesKs1","last3Ks1","8","8","0","true","false","UNKNOWN","DATE_ONLY"
"822696","2026-08-13","home","676917","last3AppearancesKs2","last3Ks2","3","3","0","true","false","UNKNOWN","DATE_ONLY"
