target_game_id,target_date,side,pitcher_id,pitcher_name,team,competition_status,starts_history_count,appearances_history_count,history_start_date_starts,history_start_date_appearances,last3StartsKs1,last3StartsIp1,last3StartsBf1,last3StartsPitchCount1,last3AppearancesKs1,last3AppearancesIp1,last3AppearancesBf1,last3AppearancesPitchCount1,last3StartsKs2,last3StartsIp2,last3StartsBf2,last3StartsPitchCount2,last3AppearancesKs2,last3AppearancesIp2,last3AppearancesBf2,last3AppearancesPitchCount2,last3StartsKs3,last3StartsIp3,last3StartsBf3,last3StartsPitchCount3,last3AppearancesKs3,last3AppearancesIp3,last3AppearancesBf3,last3AppearancesPitchCount3,last5StartsKsAvg,last5StartsKsStd,last5StartsIpAvg,last5StartsBfAvg,last5StartsPitchCountAvg,last5AppearancesKsAvg,last5AppearancesKsStd,last5AppearancesIpAvg,last5AppearancesBfAvg,last5AppearancesPitchCountAvg,pitchesLastStart,pitchesLast3Starts,daysSinceLastStart,pitchesLastAppearance,pitchesLast3Appearances,daysSinceLastAppearance,actual_k,status,starts_lineage_game_ids,appearances_lineage_game_ids,temporal_evidence,identity_method,target_actual_k_used_as_feature,target_boxscore_used_for_features,history_truncated,truncation_cause
"822696","2026-08-13","home","676917","Cade Cavalli","Washington Nationals","UNKNOWN","24","25","2026-03-06","2026-03-06","8","6","26","100","8","6","26","100","3","6","23","90","3","6","23","90","3","6","25","98","3","6","25","98","6.2","2.6381811916545836","6","23.8","94.6","6.2","2.6381811916545836","6","23.8","94.6","100","288","6","100","288","6","10","COMPLETE_BOTH","822699|824891|822703","822699|824891|822703","DATE_ONLY","PITCHER_ID_ONLY","false","false","false","NOT_FLAGGED"
"822702","2026-07-29","home","641793","Zack Littell","Washington Nationals","UNKNOWN","13","21","2026-03-13","2026-03-13","4","6","30","96","5","5","20","77","3","5","20","82","4","6","30","96","2","5","24","99","5","4","15","69","3.6","1.019803902718557","5.4","23.4","85","4","0.8944271909999159","5.2","21.2","82.2","96","277","11","77","242","5","2","COMPLETE_BOTH","824979|824821|822721","822707|824979|822709","DATE_ONLY","PITCHER_ID_ONLY","false","false","false","NOT_FLAGGED"
"822707","2026-07-24","home","687223","Carson Palmquist","Washington Nationals","UNKNOWN","4","9","2026-06-24","2026-03-01","2","1.6666666666666667","11","36","2","1.6666666666666667","11","36","4","3","12","45","1","0.3333333333333333","3","7","3","1","8","37","4","3","12","45","3","0.7071067811865476","2.25","10.75","44","2","1.4142135623730951","1.4","7.4","28.2","36","118","3","36","88","3","1","COMPLETE_BOTH","824329|822709|822716","824329|824979|822709","DATE_ONLY","PITCHER_ID_ONLY","false","false","false","NOT_FLAGGED"
"822708","2026-07-12","home","676917","Cade Cavalli","Washington Nationals","UNKNOWN","18","19","2026-03-06","2026-03-06","3","2.3333333333333335","15","63","3","2.3333333333333335","15","63","7","6","25","97","13","7","23","100","1","2.6666666666666665","16","68","7","6","25","97","3.8","2.3151673805580453","4.2","20.2","81","5.2","4.3999999999999995","4.6","20.2","83.2","63","228","7","63","260","7","5","COMPLETE_BOTH","822715|822717|822967","822715|824742|822717","DATE_ONLY","PITCHER_ID_ONLY","false","false","false","NOT_FLAGGED"
"822709","2026-07-10","home","687223","Carson Palmquist","Washington Nationals","UNKNOWN","2","6","2026-06-24","2026-03-01","3","1","8","37","0","1","3","16","3","3.3333333333333335","12","58","3","1","8","37","","","","","1","1","5","16","3","0","2.166666666666667","10","47.5","1.4","1.3564659966250538","1.4666666666666668","6.4","27.4","37","95","6","16","69","3","4","COMPLETE_APPEARANCES_ONLY","822716|822719","822713|822716|824740","DATE_ONLY","PITCHER_ID_ONLY","false","false","true","UNKNOWN_TRUNCATION_OR_DEBUT"
"822710","2026-07-08","home","656492","Foster Griffin","Washington Nationals","UNKNOWN","18","19","2026-03-04","2026-03-04","2","5","20","83","2","5","20","83","9","7.333333333333333","27","105","9","7","26","112","6","6","26","100","9","7.333333333333333","27","105","5.2","2.3151673805580453","5.866666666666666","22.8","90","6.2","2.6381811916545836","6.266666666666667","24.6","100","83","288","5","83","300","5","9","COMPLETE_BOTH","822714|822720|822723","822714|824825|822720","DATE_ONLY","PITCHER_ID_ONLY","false","false","false","NOT_FLAGGED"
"822712","2026-07-06","home","571945","Miles Mikolas","Washington Nationals","UNKNOWN","7","17","2026-03-05","2026-03-05","3","7","30","97","3","7","30","97","3","5.333333333333333","19","74","1","3.3333333333333335","16","60","3","3","17","55","2","6","26","85","3.4","0.4898979485566356","4.933333333333333","23.2","82","2.4","1.019803902718557","5.4","22.8","77.6","97","226","7","97","242","7","3","COMPLETE_BOTH","824741|822740|822753","824741|822719|822966","DATE_ONLY","PITCHER_ID_ONLY","false","false","false","NOT_FLAGGED"
"822713","2026-07-07","home","674841","Andrew Alvarez","Washington Nationals","UNKNOWN","6","13","2026-03-08","2026-03-02","5","4.333333333333333","20","88","6","4.666666666666667","17","74","6","4","16","68","5","4.333333333333333","20","88","5","4","18","58","6","4","16","68","5","0.6324555320336759","4.2","18.6","77.2","5.2","0.7483314773547882","4.2","18.4","75.6","88","214","11","74","230","6","3","COMPLETE_BOTH","824824|822968|822724","824740|824824|822968","DATE_ONLY","PITCHER_ID_ONLY","false","false","false","NOT_FLAGGED"
"822714","2026-07-03","home","656492","Foster Griffin","Washington Nationals","UNKNOWN","17","18","2026-03-04","2026-03-04","9","7.333333333333333","27","105","9","7","26","112","6","6","26","100","9","7.333333333333333","27","105","5","6","24","100","6","6","26","100","5.8","1.7204650534085253","5.866666666666666","23","91.4","6.6","2.0591260281974","6.266666666666667","24","95.8","105","305","11","112","317","6","2","COMPLETE_BOTH","822720|822723|823215","824825|822720|822723","DATE_ONLY","PITCHER_ID_ONLY","false","false","false","NOT_FLAGGED"
"822716","2026-07-04","home","687223","Carson Palmquist","Washington Nationals","UNKNOWN","1","4","2026-06-24","2026-03-01","3","3.3333333333333335","12","58","1","1","5","16","","","","","3","3.3333333333333335","12","58","","","","","0","1","4","10","3","0","3.3333333333333335","12","58","1.5","1.118033988749895","1.8333333333333335","7.25","29.25","58","58","10","16","84","3","3","COMPLETE_APPEARANCES_ONLY","822719","824740|822719|831792","DATE_ONLY","PITCHER_ID_ONLY","false","false","true","UNKNOWN_TRUNCATION_OR_DEBUT"
"822717","2026-06-25","home","676917","Cade Cavalli","Washington Nationals","UNKNOWN","16","16","2026-03-06","2026-03-06","1","2.6666666666666665","16","68","1","2.6666666666666665","16","68","2","5","22","88","2","5","22","88","6","5","23","89","6","5","23","89","5","3.03315017762062","5.133333333333333","22.6","83.2","5","3.03315017762062","5.133333333333333","22.6","83.2","68","245","5","68","245","5","7","COMPLETE_BOTH","822967|825074|822730","822967|825074|822730","DATE_ONLY","PITCHER_ID_ONLY","false","false","false","NOT_FLAGGED"
"822718","2026-06-23","home","676571","PJ Poulin","Washington Nationals","UNKNOWN","9","32","2026-03-23","2026-03-04","1","2","7","23","1","2","7","23","1","1","3","13","0","1","5","23","0","2","7","29","1","1","3","13","1","0.6324555320336759","1.7333333333333332","6.4","25.8","0.6","0.48989794855663565","1.4","5.4","20.8","23","65","4","23","59","4","1","COMPLETE_BOTH","822966|824432|824437","822966|822721|824432","DATE_ONLY","PITCHER_ID_ONLY","false","false","false","NOT_FLAGGED"
"822719","2026-06-24","home","687223","Carson Palmquist","Washington Nationals","UNKNOWN","0","2","","2026-03-01","","","","","0","1","4","10","","","","","2","2","8","33","","","","","","","","","","","","","","1","1","1.5","6","21.5","","","","10","43","111","3","INSUFFICIENT_HISTORY","","831792|831867","DATE_ONLY","PITCHER_ID_ONLY","false","false","true","UNKNOWN_TRUNCATION_OR_DEBUT"
"822776","2026-08-13","home","453286","Max Scherzer","Toronto Blue Jays","UNKNOWN","12","12","2026-03-07","2026-03-07","4","5.333333333333333","21","84","4","5.333333333333333","21","84","5","6","23","84","5","6","23","84","4","2.6666666666666665","15","75","4","2.6666666666666665","15","75","3.4","1.7435595774162693","3.9333333333333327","18.6","81.4","3.4","1.7435595774162693","3.9333333333333327","18.6","81.4","84","243","5","84","243","5","4","COMPLETE_BOTH","823426|822783|822705","823426|822783|822705","DATE_ONLY","PITCHER_ID_ONLY","false","false","false","NOT_FLAGGED"
"822785","2026-07-23","home","669456","Shane Bieber","Toronto Blue Jays","UNKNOWN","5","5","2026-06-23","2026-06-23","6","6","22","80","6","6","22","80","4","4.666666666666667","22","97","4","4.666666666666667","22","97","3","4","21","89","3","4","21","89","3.8","1.32664991614216","4.733333333333333","21.6","86.6","3.8","1.32664991614216","4.733333333333333","21.6","86.6","80","266","5","80","266","5","3","COMPLETE_BOTH","822790|823278|823118","822790|823278|823118","DATE_ONLY","PITCHER_ID_ONLY","false","false","false","NOT_FLAGGED"
"822787","2026-07-21","home","592332","Kevin Gausman","Toronto Blue Jays","UNKNOWN","19","20","2026-03-03","2026-03-03","8","6","25","103","8","6","25","103","8","5.333333333333333","26","92","8","5.333333333333333","26","92","4","6","28","99","7","6","25","96","5.6","2.0591260281974","4.866666666666666","23.2","91","6","2.0976176963403033","5.066666666666666","24.2","91.6","103","294","9","103","291","9","1","COMPLETE_BOTH","823274|823205|822797","823274|823205|822793","DATE_ONLY","PITCHER_ID_ONLY","false","false","false","NOT_FLAGGED"
"822789","2026-07-17","home","693686","Spencer Miles","Toronto Blue Jays","UNKNOWN","3","28","2026-05-10","2026-03-02","1","4","18","55","1","2","8","39","2","3","17","70","1","4","18","55","2","3","11","38","3","2.6666666666666665","9","35","1.6666666666666667","0.4714045207910317","3.3333333333333335","15.333333333333334","54.333333333333336","1.6","1.2","2.1333333333333333","9","35.4","55","163","10","39","129","6","4","COMPLETE_BOTH","823203|824832|822819","823276|823203|822796","DATE_ONLY","PITCHER_ID_ONLY","false","false","false","NOT_FLAGGED"
