dimension,key,pitcher_games_total,pitchers_unique,games_unique,starts_depth_0,starts_depth_1,starts_depth_2,starts_depth_3_plus,appearances_depth_0,appearances_depth_1,appearances_depth_2,appearances_depth_3_plus
"global","ALL","265","156","260","7","8","8","242","0","4","5","256"
"side","home","260","155","260","7","8","8","237","0","4","5","251"
"side","away","5","5","5","0","0","0","5","0","0","0","5"
"month","2026-06","83","78","83","4","3","4","72","0","1","2","80"
"month","2026-07","170","121","170","3","5","4","158","0","3","3","164"
"month","2026-08","12","12","7","0","0","0","12","0","0","0","12"
"pitcher","453286","1","1","1","0","0","0","1","0","0","0","1"
"pitcher","518876","3","1","3","0","0","0","3","0","0","0","3"
"pitcher","519242","1","1","1","0","0","0","1","0","0","0","1"
"pitcher","527048","1","1","1","0","0","0","1","0","0","0","1"
"pitcher","543037","1","1","1","0","0","0","1","0","0","0","1"
"pitcher","543135","1","1","1","0","0","0","1","0","0","0","1"
"pitcher","543243","1","1","1","0","0","0","1","0","0","0","1"
"pitcher","547179","2","1","2","0","0","0","2","0","0","0","2"
"pitcher","571510","1","1","1","0","0","0","1","0","0","0","1"
"pitcher","571578","1","1","1","0","0","0","1","0","0","0","1"
"pitcher","571945","1","1","1","0","0","0","1","0","0","0","1"
"pitcher","592332","2","1","2","0","0","0","2","0","0","0","2"
"pitcher","592662","2","1","2","0","0","0","2","0","0","0","2"
"pitcher","593958","4","1","4","0","0","0","4","0","0","0","4"
"pitcher","593974","1","1","1","0","0","1","0","0","0","0","1"
"pitcher","594798","1","1","1","0","0","0","1","0","0","0","1"
"pitcher","605540","1","1","1","0","0","0","1","0","0","0","1"
"pitcher","606996","1","1","1","0","1","0","0","0","0","0","1"
"pitcher","607067","2","1","2","0","0","0","2","0","0","0","2"
"pitcher","607259","2","1","2","0","0","0","2","0","0","0","2"
"pitcher","607536","1","1","1","0","0","0","1","0","0","0","1"
"pitcher","607625","2","1","2","0","0","0","2","0","0","0","2"
"pitcher","608566","2","1","2","0","0","0","2","0","0","0","2"
"pitcher","615698","1","1","1","0","0","0","1","0","0","0","1"
"pitcher","621111","3","1","3","0","0","0","3","0","0","0","3"
"pitcher","622491","2","1","2","0","0","0","2","0","0","0","2"
"pitcher","624133","1","1","1","0","0","0","1","0","0","0","1"
"pitcher","625643","2","1","2","0","0","0","2","0","0","0","2"
"pitcher","640455","2","1","2","0","0","0","2","0","0","0","2"
"pitcher","641743","2","1","2","0","0","0","2","0","0","0","2"
"pitcher","641778","1","1","1","0","0","0","1","0","0","0","1"
"pitcher","641793","1","1","1","0","0","0","1","0","0","0","1"
"pitcher","641927","1","1","1","0","0","0","1","0","0","0","1"
"pitcher","643377","2","1","2","0","0","0","2","0","0","0","2"
"pitcher","645261","1","1","1","0","0","0","1","0","0","0","1"
"pitcher","650633","2","1","2","0","0","0","2","0","0","0","2"
"pitcher","650644","1","1","1","0","0","0","1","0","0","0","1"
"pitcher","656427","2","1","2","0","0","0","2","0","0","0","2"
"pitcher","656492","2","1","2","0","0","0","2","0","0","0","2"
"pitcher","656550","1","1","1","0","0","0","1","0","0","0","1"
"pitcher","656605","3","1","3","0","0","0","3","0","0","0","3"
"pitcher","656849","1","1","1","0","0","0","1","0","0","0","1"
"pitcher","656876","2","1","2","0","0","0","2","0","0","0","2"
"pitcher","657277","4","1","4","0","0","0","4","0","0","0","4"
"pitcher","657746","2","1","2","0","0","0","2","0","0","0","2"
"pitcher","660271","1","1","1","0","0","0","1","0","0","0","1"
"pitcher","663372","2","1","2","0","0","0","2","0","0","0","2"
"pitcher","663436","2","1","2","0","0","0","2","0","0","0","2"
"pitcher","663542","1","1","1","0","0","0","1","0","0","0","1"
"pitcher","663554","2","1","2","0","0","0","2","0","0","0","2"
"pitcher","663556","3","1","3","0","0","0","3","0","0","0","3"
"pitcher","663567","3","1","3","0","0","0","3","0","0","0","3"
"pitcher","663568","1","1","1","0","0","0","1","0","0","0","1"
"pitcher","663776","1","1","1","0","0","1","0","0","0","1","0"
"pitcher","663903","2","1","2","0","0","0","2","0","0","0","2"
"pitcher","663969","2","1","2","0","0","0","2","0","0","0","2"
"pitcher","664285","2","1","2","0","0","0","2","0","0","0","2"
"pitcher","665152","1","1","1","0","0","0","1","0","0","0","1"
"pitcher","665871","1","1","1","0","0","0","1","0","0","0","1"
"pitcher","666157","3","1","3","0","0","0","3","0","0","0","3"
"pitcher","666200","2","1","2","0","0","0","2","0","0","0","2"
"pitcher","667755","1","1","1","0","0","0","1","0","0","0","1"
"pitcher","668881","1","1","1","0","1","0","0","0","1","0","0"
"pitcher","668909","3","1","3","0","0","0","3","0","0","0","3"
"pitcher","668984","1","1","1","1","0","0","0","0","0","0","1"
"pitcher","669022","1","1","1","0","0","0","1","0","0","0","1"
"pitcher","669160","2","1","2","0","0","0","2","0","0","0","2"
"pitcher","669302","2","1","2","0","0","0","2","0","0","0","2"
"pitcher","669358","3","1","3","0","0","0","3","0","0","0","3"
"pitcher","669373","4","1","4","0","0","0","4","0","0","0","4"
"pitcher","669432","3","1","3","0","0","0","3","0","0","0","3"
"pitcher","669456","2","1","2","0","1","0","1","0","1","0","1"
"pitcher","669461","2","1","2","0","0","0","2","0","0","0","2"
"pitcher","669467","2","1","2","0","0","0","2","0","0","0","2"
"pitcher","669923","1","1","1","0","0","0","1","0","0","0","1"
"pitcher","671096","2","1","2","0","0","0","2","0","0","0","2"
"pitcher","671737","3","1","3","0","0","0","3","0","0","0","3"
"pitcher","672282","4","1","4","0","0","0","4","0","0","0","4"
"pitcher","672335","2","1","2","1","1","0","0","0","0","0","2"
"pitcher","672456","1","1","1","0","0","0","1","0","0","0","1"
"pitcher","673540","1","1","1","0","0","0","1","0","0","0","1"
"pitcher","674841","1","1","1","0","0","0","1","0","0","0","1"
"pitcher","675512","1","1","1","0","0","0","1","0","0","0","1"
"pitcher","675660","1","1","1","0","0","0","1","0","0","0","1"
"pitcher","676083","1","1","1","0","0","0","1","0","0","0","1"
"pitcher","676106","2","1","2","0","0","0","2","0","0","0","2"
"pitcher","676282","3","1","3","0","0","0","3","0","0","0","3"
"pitcher","676571","1","1","1","0","0","0","1","0","0","0","1"
"pitcher","676664","1","1","1","1","0","0","0","0","0","1","0"
"pitcher","676917","3","1","3","0","0","0","3","0","0","0","3"
