game_id,pitcher_id,game_date,side,feature,old_value,new_value,absolute_difference,history_game_ids,history_dates,history_definition,temporal_evidence,reason
"822702","641793","2026-07-29","home","last5StartsKsAvg","2.6","3.6","1","824979|824821|822721","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822702","641793","2026-07-29","home","last5StartsBfAvg","20.6","23.4","2.799999999999997","824979|824821|822721","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822702","641793","2026-07-29","home","last5StartsPitchCountAvg","79","85","6","824979|824821|822721","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822702","641793","2026-07-29","home","pitchesLastStart","77","96","19","824979|824821|822721","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822702","641793","2026-07-29","home","pitchesLast3Starts","242","277","35","824979|824821|822721","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822702","641793","2026-07-29","home","daysSinceLastStart","5","11","6","824979|824821|822721","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822702","641793","2026-07-29","home","last3AppearancesKs1","4","5","1","822707|824979|822709","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
"822702","641793","2026-07-29","home","last3AppearancesKs2","3","4","1","822707|824979|822709","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
"822702","641793","2026-07-29","home","last3AppearancesKs3","2","5","3","822707|824979|822709","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
"822702","641793","2026-07-29","home","last3AppearancesIp1","6","5","1","822707|824979|822709","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
"822702","641793","2026-07-29","home","last3AppearancesIp2","5","6","1","822707|824979|822709","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
"822702","641793","2026-07-29","home","last3AppearancesIp3","5","4","1","822707|824979|822709","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
