model,segment_type,segment,n_train,n_validation,mae,rmse,r2,correlation,mean_error,delta_mae_vs_baseline,delta_rmse_vs_baseline,delta_r2_vs_baseline,delta_correlation_vs_baseline
"baseline","SIDE","ALL","98","12","1.9710587047720203","2.390751296115144","0.2227954547477068","0.5323283145570125","-0.6660799320192947","0","0","0","0"
"baseline","SIDE","HOME","98","7","1.9026069881342436","2.487222681876285","0.12390879539666722","0.5913573293750727","-1.2578184357318183","","","",""
"baseline","SIDE","AWAY","98","5","2.0668911080649064","2.2487491827162875","0.2816941922205721","0.5351986788183856","0.16235397317823788","","","",""
"dynamic_starts","SIDE","ALL","98","12","2.3652951643202846","3.103228384593305","-0.30946534712007767","0.16044100305383074","-0.7390933169516197","0.39423645954826436","0.712477088478161","-0.5322608018677845","-0.3718873115031817"
"dynamic_starts","SIDE","HOME","98","7","2.8939428130701557","3.6399015897587983","-0.8762869814257304","-0.013231939083584924","-1.6494553062349606","","","",""
"dynamic_starts","SIDE","AWAY","98","5","1.6251884560704652","2.1362645810594945","0.3517576192770885","0.6267335225821439","0.5354134680450577","","","",""
"dynamic_appearances","SIDE","ALL","98","12","2.121110020930049","2.532555167096783","0.12786370433242644","0.44702649788554816","-0.4496352855654151","0.1500513161580288","0.14180387098163916","-0.09493175041528035","-0.0853018166714643"
"dynamic_appearances","SIDE","HOME","98","7","2.320672480934533","2.7345784115231635","-0.05901166286028592","0.47649745350439027","-1.3377849816387977","","","",""
"dynamic_appearances","SIDE","AWAY","98","5","1.841722576923771","2.2190355775103527","0.3005512934294454","0.6245456627310264","0.7937742889373204","","","",""
"hybrid","SIDE","ALL","98","12","2.172728557676337","2.86859446418676","-0.11893496203461851","0.3005246126833734","-0.5427060477161159","0.2016698529043166","0.4778431680716162","-0.3417304167823253","-0.23180370187363908"
"hybrid","SIDE","HOME","98","7","2.5383591818855336","3.2359345117137317","-0.4829258267078018","0.2905317573580862","-1.6958342432314428","","","",""
"hybrid","SIDE","AWAY","98","5","1.6608456837834615","2.2559745233869637","0.2770708735552504","0.6656656604443832","1.071673426005342","","","",""
