game_id,game_date,scheduled_time_et,snapshot_captured_at,snapshot_classification,home_team,away_team,venue,game_type,game_type_source,home_pregame_pitcher_id,home_pregame_pitcher_name,home_final_pitcher_id,home_final_pitcher_name,home_actual_k,home_match_status,home_in_official_dataset,away_pregame_pitcher_id,away_pregame_pitcher_name,away_final_pitcher_id,away_final_pitcher_name,away_actual_k,away_match_status,away_in_official_dataset,any_defendible_observation,defendible_observation_count
"822726","2026-06-12","6:45 PM ET","2026-06-12T21:09:32.033Z","A","Washington Nationals","Seattle Mariners","Nationals Park","R","MLB_STATS_API_SCHEDULE","","Zack Littell","","Zack Littell","","PREGAME_ID_MISSING","false","","Bryce Miller","","Bryce Miller","","PREGAME_ID_MISSING","false","false","0"
"822803","2026-06-12","7:37 PM ET","2026-06-12T21:09:48.348Z","A","Toronto Blue Jays","New York Yankees","Rogers Centre","R","MLB_STATS_API_SCHEDULE","","Trey Yesavage","","Trey Yesavage","","PREGAME_ID_MISSING","false","","Ryan Weathers","","Ryan Weathers","","PREGAME_ID_MISSING","false","false","0"
"823211","2026-06-12","10:15 PM ET","2026-06-13T01:26:01.805Z","A","San Francisco Giants","Chicago Cubs","Oracle Park","R","MLB_STATS_API_SCHEDULE","","Landen Roupp","","Landen Roupp","","PREGAME_ID_MISSING","false","","Javier Assad","","Javier Assad","","PREGAME_ID_MISSING","false","false","0"
"823370","2026-06-12","6:40 PM ET","2026-06-12T21:11:23.533Z","A","Pittsburgh Pirates","Miami Marlins","PNC Park","R","MLB_STATS_API_SCHEDULE","","Braxton Ashcraft","","Braxton Ashcraft","","PREGAME_ID_MISSING","false","","Sandy Alcantara","","Sandy Alcantara","","PREGAME_ID_MISSING","false","false","0"
"823617","2026-06-12","7:15 PM ET","2026-06-12T21:09:45.644Z","A","New York Mets","Atlanta Braves","Citi Field","R","MLB_STATS_API_SCHEDULE","","Nolan McLean","","Nolan McLean","","PREGAME_ID_MISSING","false","","Spencer Strider","","Spencer Strider","","PREGAME_ID_MISSING","false","false","0"
"823695","2026-06-12","8:10 PM ET","2026-06-12T23:38:29.896Z","A","Minnesota Twins","St. Louis Cardinals","Target Field","R","MLB_STATS_API_SCHEDULE","","Joe Ryan","","Joe Ryan","","PREGAME_ID_MISSING","false","","Kyle Leahy","","Kyle Leahy","","PREGAME_ID_MISSING","false","false","0"
"823778","2026-06-12","7:40 PM ET","2026-06-12T23:38:30.396Z","A","Milwaukee Brewers","Philadelphia Phillies","American Family Field","R","MLB_STATS_API_SCHEDULE","","Jacob Misiorowski","","Jacob Misiorowski","","PREGAME_ID_MISSING","false","","Tanner Banks","","Tanner Banks","","PREGAME_ID_MISSING","false","false","0"
"824020","2026-06-12","9:38 PM ET","2026-06-13T01:25:57.510Z","A","Los Angeles Angels","Tampa Bay Rays","Angel Stadium","R","MLB_STATS_API_SCHEDULE","","Sam Aldegheri","","Sam Aldegheri","","PREGAME_ID_MISSING","false","","Shane McClanahan","","Shane McClanahan","","PREGAME_ID_MISSING","false","false","0"
"824102","2026-06-12","8:10 PM ET","2026-06-12T21:09:56.448Z","A","Kansas City Royals","Houston Astros","Kauffman Stadium","R","MLB_STATS_API_SCHEDULE","","Luinder Avila","","Luinder Avila","","PREGAME_ID_MISSING","false","","Tatsuya Imai","","Tatsuya Imai","","PREGAME_ID_MISSING","false","false","0"
"824425","2026-06-12","7:10 PM ET","2026-06-12T21:09:37.345Z","A","Cleveland Guardians","Detroit Tigers","Progressive Field","R","MLB_STATS_API_SCHEDULE","","Tanner Bibee","","Tanner Bibee","","PREGAME_ID_MISSING","false","","Jack Flaherty","","Jack Flaherty","","PREGAME_ID_MISSING","false","false","0"
"824507","2026-06-12","7:15 PM ET","2026-06-12T21:09:42.945Z","A","Cincinnati Reds","Arizona Diamondbacks","Great American Ball Park","R","MLB_STATS_API_SCHEDULE","","Nick Lodolo","","Nick Lodolo","","PREGAME_ID_MISSING","false","","Eduardo Rodriguez","","Eduardo Rodriguez","","PREGAME_ID_MISSING","false","false","0"
"824588","2026-06-12","7:40 PM ET","2026-06-12T21:09:50.952Z","A","Chicago White Sox","Los Angeles Dodgers","Rate Field","R","MLB_STATS_API_SCHEDULE","","Anthony Kay","","Anthony Kay","","PREGAME_ID_MISSING","false","","Roki Sasaki","","Roki Sasaki","","PREGAME_ID_MISSING","false","false","0"
