game_id,game_date,side,pregame_pitcher_name,classification,pitcher_id,pitcher_name,snapshot_timestamp,scheduled_start,game_status,source,evidence_reason,evidence_count,distinct_ids,change_detected,identity_conflict
"822693","2026-08-25","away","Por definir","HIGH_BUT_NOT_TEMPORALLY_VERIFIED","690279","Mason Adams","2026-08-26T23:19:40.119Z","2026-08-25T22:45:00.000Z","Final","PITCHERS_PITCHER_ID","ID explícito presente, pero sin evidencia temporal pregame válida","1","690279","false","false"
"822693","2026-08-25","home","Andrew Alvarez","HIGH_BUT_NOT_TEMPORALLY_VERIFIED","674841","Andrew Alvarez","2026-08-26T23:19:40.119Z","2026-08-25T22:45:00.000Z","Final","PITCHERS_PITCHER_ID","ID explícito presente, pero sin evidencia temporal pregame válida","1","674841","false","false"
"822696","2026-08-13","away","Kevin Gausman","HIGH_BUT_NOT_TEMPORALLY_VERIFIED","592332","Kevin Gausman","2026-08-26T22:45:58.427Z","2026-08-13T20:05:00.000Z","Final","PITCHERS_PITCHER_ID","ID explícito presente, pero sin evidencia temporal pregame válida","1","592332","false","false"
"822702","2026-07-29","away","Trey Yesavage","HIGH_BUT_NOT_TEMPORALLY_VERIFIED","702056","Trey Yesavage","2026-08-26T22:35:32.876Z","2026-07-29T17:05:00.000Z","Final","PITCHERS_PITCHER_ID","ID explícito presente, pero sin evidencia temporal pregame válida","1","702056","false","false"
"822704","2026-07-25","away","Mitch Bratt","HIGH_BUT_NOT_TEMPORALLY_VERIFIED","683352","Mitch Bratt","2026-08-26T22:25:30.203Z","2026-07-25T20:05:00.000Z","Final","PITCHERS_PITCHER_ID","ID explícito presente, pero sin evidencia temporal pregame válida","1","683352","false","false"
"822704","2026-07-25","home","Foster Griffin","HIGH_BUT_NOT_TEMPORALLY_VERIFIED","656492","Foster Griffin","2026-08-26T22:25:30.203Z","2026-07-25T20:05:00.000Z","Final","PITCHERS_PITCHER_ID","ID explícito presente, pero sin evidencia temporal pregame válida","1","656492","false","false"
"822705","2026-07-27","away","Max Scherzer","HIGH_BUT_NOT_TEMPORALLY_VERIFIED","453286","Max Scherzer","2026-08-26T22:31:17.423Z","2026-07-27T22:45:00.000Z","Final","PITCHERS_PITCHER_ID","ID explícito presente, pero sin evidencia temporal pregame válida","1","453286","false","false"
"822707","2026-07-24","away","Eduardo Rodriguez","HIGH_BUT_NOT_TEMPORALLY_VERIFIED","593958","Eduardo Rodriguez","2026-08-26T22:22:43.640Z","2026-07-24T22:45:00.000Z","Final","PITCHERS_PITCHER_ID","ID explícito presente, pero sin evidencia temporal pregame válida","1","593958","false","false"
"822708","2026-07-12","away","Will Warren","HIGH_BUT_NOT_TEMPORALLY_VERIFIED","701542","Will Warren","2026-08-26T21:51:29.990Z","2026-07-12T17:35:00.000Z","Final","PITCHERS_PITCHER_ID","ID explícito presente, pero sin evidencia temporal pregame válida","1","701542","false","false"
"822709","2026-07-10","away","Ryan Weathers","HIGH_BUT_NOT_TEMPORALLY_VERIFIED","677960","Ryan Weathers","2026-08-26T21:48:19.380Z","2026-07-10T22:45:00.000Z","Final","PITCHERS_PITCHER_ID","ID explícito presente, pero sin evidencia temporal pregame válida","1","677960","false","false"
