game_id,pitcher_id,pitcher_name,game_date,snapshot_captured_at,team,opponent,side,match_status,pregame_identity_source,pitcher_k_pct,pitcher_so_rate,pitcher_swstr_pct,pitcher_csw_pct,pitcher_bb_pct,pitcher_fip,pitcher_xfip,pitcher_siera,pitcher_xera,pitcher_last5_ks_avg,pitcher_last5_ip_avg,pitcher_last5_bf_avg,pitcher_last5_pitch_count_avg,projected_pitches,projected_innings,pitches_last_start,pitches_last_3_starts,days_since_last_start,opponent_lineup_k_pct,opponent_offense_ops,opponent_offense_woba,opponent_offense_xwoba,park_factor_k,weather_temp,weather_wind_speed,projected_strikeouts,actual_k
"822696","676917","Cade Cavalli","2026-08-13","2026-08-13T18:42:08.203Z","Washington Nationals","Chicago Cubs","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","25.5","25.5","12.1","30.3","7.1","3.71","3.1","3.56","4.12","6.2","6","23.8","95","94","6","100","288","6","24.136192350956133","0.761","0.334","0.32","93","33.2","10.7","5.98","10"
"822702","641793","Zack Littell","2026-07-29","2026-07-29T14:55:43.755Z","Washington Nationals","Toronto Blue Jays","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","15.2","15.2","8.6","23.9","7.1","6.12","4.44","4.7","6.27","2.6","4.5","20.6","79","80","4.2","77","242","5","19","0.682","0.3","0.292","93","28.9","20.6","3.52","2"
"822707","687223","Carson Palmquist","2026-07-24","2026-07-24T19:48:59.280Z","Washington Nationals","Arizona Diamondbacks","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","25.9","25.9","12.6","30.2","5.6","3.46","3.4","3.53","4.11","3","2.3","10.8","44","27","1.1","36","88","3","19.6","0.709","0.311","0.342","93","27.6","10.2","2.31","1"
"822708","676917","Cade Cavalli","2026-07-12","2026-07-12T16:55:47.763Z","Washington Nationals","New York Yankees","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","25.5","25.5","12.2","30.7","7.5","3.45","3.19","3.68","4.13","5.8","4.6","19.8","82","77","4.1","63","260","7","22.7","0.742","0.324","0.32","94","28.5","10","4.88","5"
"822709","687223","Carson Palmquist","2026-07-10","2026-07-10T20:34:16.882Z","Washington Nationals","New York Yankees","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","25","25","11.8","26.8","7.1","2.41","3.27","3.75","3.67","3","2.2","10","48","28","1.1","16","69","3","24","0.736","0.322","0.316","94","28.6","11.2","2.24","4"
"822710","656492","Foster Griffin","2026-07-08","2026-07-08T20:22:02.343Z","Washington Nationals","Houston Astros","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","23.8","23.8","11.9","30.4","6.2","4.36","3.23","3.49","4.02","6.2","6.3","24.6","100","100","6.1","83","300","5","20.8","0.727","0.318","0.309","94","28.2","7.2","5.85","9"
"822712","571945","Miles Mikolas","2026-07-06","2026-07-06T22:27:30.388Z","Washington Nationals","Houston Astros","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","13.2","13.2","7.1","25","4.8","5.46","3.98","4.58","4.8","2.8","4.5","19.6","75","75","4.2","97","242","7","22.5","0.725","0.316","0.308","","","","3.43","3"
"822713","674841","Andrew Alvarez","2026-07-07","2026-07-07T21:48:01.396Z","Washington Nationals","Houston Astros","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","27.6","27.6","13","29.9","9.2","2.74","2.51","3.65","4.08","5","4.2","18.6","77","76","4","74","230","6","20.183052313013402","0.727","0.317","0.302","","28.3","4.1","5.03","3"
"822714","656492","Foster Griffin","2026-07-03","2026-07-03T22:10:18.475Z","Washington Nationals","Pittsburgh Pirates","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","24.5","24.5","12","30.6","6.3","4.3","3.18","3.41","3.9","6.6","6.3","24","96","94","6.1","112","317","6","25.8","0.759","0.333","0.333","","38.5","11.2","5.96","2"
"822716","687223","Carson Palmquist","2026-07-04","2026-07-04T14:39:47.382Z","Washington Nationals","Pittsburgh Pirates","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","23.5","23.5","12.2","29.7","5.9","2.05","3.31","3.24","3.61","3","3.3","12","58","33","2","16","74","3","24","0.76","0.334","0.326","","35.8","8.9","2.7","3"
"822717","676917","Cade Cavalli","2026-06-25","2026-06-25T20:14:30.015Z","Washington Nationals","Philadelphia Phillies","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","23.5","23.5","10.9","30.1","8","3.6","3.51","3.96","4.49","4.2","4.7","21.2","83","85","","68","237","5","22.3","0.699","0.306","0.306","","31","13","","7"
"822718","676571","PJ Poulin","2026-06-23","2026-06-23T21:41:55.279Z","Washington Nationals","Philadelphia Phillies","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","15.1","15.1","6.2","25.6","14.3","5.62","5.01","5.44","5.92","0.8","1.6","6","23","18","","23","61","4","24.1","0.693","0.304","0.302","","21.1","14.6","","1"
"822719","687223","Carson Palmquist","2026-06-24","2026-06-24T21:17:11.177Z","Washington Nationals","Philadelphia Phillies","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","N/A","","","","N/A","","","","","","","","","","","0","0","5","21.4","0.701","0.307","0.299","","28","4.1","","3"
"822776","453286","Max Scherzer","2026-08-13","2026-08-13T18:42:05.020Z","Toronto Blue Jays","Boston Red Sox","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","16.8","16.8","9","22.3","9.3","7.01","4.36","4.72","5.43","3.4","3.9","18.6","81","81","4","84","243","5","21.318508026440036","0.721","0.318","0.319","98","26.2","8.2","3.62","4"
"822785","669456","Shane Bieber","2026-07-23","2026-07-23T17:27:16.655Z","Toronto Blue Jays","Tampa Bay Rays","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","17.6","17.6","11.8","27.9","11.1","6.96","4.38","4.65","8.54","3.8","4.7","21.6","87","90","5","80","266","5","19.3","0.738","0.325","0.32","98","20.4","16.6","4.21","3"
"822787","592332","Kevin Gausman","2026-07-21","2026-07-21T22:26:27.685Z","Toronto Blue Jays","Tampa Bay Rays","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","24.7","24.7","13.8","28.9","6.8","3.75","2.99","3.24","3.88","6","5.1","24.2","92","93","5","103","291","9","18.1","0.734","0.323","0.303","98","19.5","10.6","5.82","1"
"822789","693686","Spencer Miles","2026-07-17","2026-07-17T23:14:17.701Z","Toronto Blue Jays","Chicago White Sox","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","23.5","23.5","9.1","28","7.8","3.12","3","3.79","3.28","1.67","3.3","15.3","54","51","3","39","140","6","23.9","0.732","0.321","0.334","98","21.5","10.1","3.25","4"
"822792","702056","Trey Yesavage","2026-06-29","2026-06-29T22:55:06.600Z","Toronto Blue Jays","New York Mets","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","23.3","23.3","14.2","27.8","12","3.89","3.74","4.03","2.93","4.6","5.7","24.2","93","94","5.2","105","281","5","21.6","0.675","0.297","0.342","","","","5.57","3"
"822795","669456","Shane Bieber","2026-06-28","2026-06-28T17:24:58.386Z","Toronto Blue Jays","Texas Rangers","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","10.5","10.5","8","22.7","N/A","12.75","5.09","5.64","34.19","2","3.7","19","75","65","","75","75","5","21","0.712","0.314","0.323","","25.2","11.2","","4"
