game_id,game_date,snapshot_captured_at,pregame_side,pregame_pitcher_name,pregame_pitcher_id,pregame_identity_source,final_side,final_pitcher_name,final_pitcher_id,final_identity_source,match_status,actual_k,scheduled_start,minutes_before_start,reason
"822692","2026-08-26","2026-08-26T17:52:10.843Z","home","Matt Waldron","663362","PREGAME_EXPLICIT_ID","home","Matt Waldron","663362","FINAL_PITCHERS_ID","NO_FINAL_RESULT","","2026-08-26T22:45:00.000Z","292.819283","No existe documento final válido para el game_id"
"822692","2026-08-26","2026-08-26T17:52:10.843Z","away","Tanner Gordon","685299","PREGAME_EXPLICIT_ID","away","Tanner Gordon","685299","FINAL_PITCHERS_ID","NO_FINAL_RESULT","","2026-08-26T22:45:00.000Z","292.819283","No existe documento final válido para el game_id"
"822693","2026-08-25","2026-08-25T13:35:40.128Z","home","Andrew Alvarez","","","home","Andrew Alvarez","674841","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-08-25T22:45:00.000Z","549.3312","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822696","2026-08-13","2026-08-13T18:42:08.203Z","home","Cade Cavalli","676917","PREGAME_LINESCORE_DEFENSE_ID","home","Cade Cavalli","676917","FINAL_PITCHERS_ID","MATCHED","10","2026-08-13T20:05:00.000Z","82.863283","game_id y pitcher_id coinciden; actual_k final válido"
"822696","2026-08-13","2026-08-13T18:42:08.203Z","away","Kevin Gausman","","","away","Kevin Gausman","592332","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-08-13T20:05:00.000Z","82.863283","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822702","2026-07-29","2026-07-29T14:55:43.755Z","home","Zack Littell","641793","PREGAME_LINESCORE_DEFENSE_ID","home","Zack Littell","641793","FINAL_PITCHERS_ID","MATCHED","2","2026-07-29T17:05:00.000Z","129.27075","game_id y pitcher_id coinciden; actual_k final válido"
"822702","2026-07-29","2026-07-29T14:55:43.755Z","away","Trey Yesavage","","","away","Trey Yesavage","702056","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-07-29T17:05:00.000Z","129.27075","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822704","2026-07-25","2026-07-25T13:36:00.415Z","home","Foster Griffin","","","home","Foster Griffin","656492","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-07-25T20:05:00.000Z","388.993083","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822704","2026-07-25","2026-07-25T13:36:00.415Z","away","Mitch Bratt","","","away","Mitch Bratt","683352","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-07-25T20:05:00.000Z","388.993083","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822705","2026-07-27","2026-07-27T13:36:49.689Z","home","Andrew Alvarez","","","home","Eddy Yean","678868","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-07-27T22:45:00.000Z","548.17185","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822705","2026-07-27","2026-07-27T13:36:49.689Z","away","Max Scherzer","","","away","Max Scherzer","453286","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-07-27T22:45:00.000Z","548.17185","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822707","2026-07-24","2026-07-24T19:48:59.280Z","home","Carson Palmquist","687223","PREGAME_LINESCORE_DEFENSE_ID","home","Carson Palmquist","687223","FINAL_PITCHERS_ID","MATCHED","1","2026-07-24T22:45:00.000Z","176.012","game_id y pitcher_id coinciden; actual_k final válido"
"822707","2026-07-24","2026-07-24T19:48:59.280Z","away","Eduardo Rodriguez","","","away","Eduardo Rodriguez","593958","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-07-24T22:45:00.000Z","176.012","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822708","2026-07-12","2026-07-12T16:55:47.763Z","home","Cade Cavalli","676917","PREGAME_LINESCORE_DEFENSE_ID","home","Cade Cavalli","676917","FINAL_PITCHERS_ID","MATCHED","5","2026-07-12T17:35:00.000Z","39.20395","game_id y pitcher_id coinciden; actual_k final válido"
"822708","2026-07-12","2026-07-12T16:55:47.763Z","away","Will Warren","","","away","Will Warren","701542","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-07-12T17:35:00.000Z","39.20395","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822709","2026-07-10","2026-07-10T20:34:16.882Z","home","Carson Palmquist","687223","PREGAME_LINESCORE_DEFENSE_ID","home","Carson Palmquist","687223","FINAL_PITCHERS_ID","MATCHED","4","2026-07-10T22:45:00.000Z","130.718633","game_id y pitcher_id coinciden; actual_k final válido"
"822709","2026-07-10","2026-07-10T20:34:16.882Z","away","Ryan Weathers","","","away","Ryan Weathers","677960","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-07-10T22:45:00.000Z","130.718633","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822710","2026-07-08","2026-07-08T20:22:02.343Z","home","Foster Griffin","656492","PREGAME_LINESCORE_DEFENSE_ID","home","Foster Griffin","656492","FINAL_PITCHERS_ID","MATCHED","9","2026-07-08T22:45:00.000Z","142.96095","game_id y pitcher_id coinciden; actual_k final válido"
"822710","2026-07-08","2026-07-08T20:22:02.343Z","away","Spencer Arrighetti","","","away","Spencer Arrighetti","681293","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-07-08T22:45:00.000Z","142.96095","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822711","2026-07-11","2026-07-11T15:45:00.866Z","home","PJ Poulin","","","home","PJ Poulin","676571","FINAL_BOXSCORE_PLAYER_ID","UNRESOLVED_PREGAME_ID","","2026-07-11T20:05:00.000Z","259.985567","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822711","2026-07-11","2026-07-11T15:45:00.866Z","away","Cam Schlittler","","","away","Cam Schlittler","693645","FINAL_BOXSCORE_PLAYER_ID","UNRESOLVED_PREGAME_ID","","2026-07-11T20:05:00.000Z","259.985567","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822712","2026-07-06","2026-07-06T22:27:30.388Z","home","Miles Mikolas","571945","PREGAME_LINESCORE_DEFENSE_ID","home","Miles Mikolas","571945","FINAL_PITCHERS_ID","MATCHED","3","2026-07-06T22:45:00.000Z","17.493533","game_id y pitcher_id coinciden; actual_k final válido"
"822712","2026-07-06","2026-07-06T22:27:30.388Z","away","Mike Burrows","","","away","Mike Burrows","681347","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-07-06T22:45:00.000Z","17.493533","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822713","2026-07-07","2026-07-07T21:48:01.396Z","home","Andrew Alvarez","674841","PREGAME_LINESCORE_DEFENSE_ID","home","Andrew Alvarez","674841","FINAL_PITCHERS_ID","MATCHED","3","2026-07-07T22:45:00.000Z","56.976733","game_id y pitcher_id coinciden; actual_k final válido"
"822713","2026-07-07","2026-07-07T21:48:01.396Z","away","Tatsuya Imai","","","away","Tatsuya Imai","837227","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-07-07T22:45:00.000Z","56.976733","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822714","2026-07-03","2026-07-03T22:10:18.475Z","home","Foster Griffin","656492","PREGAME_LINESCORE_DEFENSE_ID","home","Foster Griffin","656492","FINAL_PITCHERS_ID","MATCHED","2","2026-07-03T22:45:00.000Z","34.692083","game_id y pitcher_id coinciden; actual_k final válido"
"822714","2026-07-03","2026-07-03T22:10:18.475Z","away","Mitch Keller","","","away","Mitch Keller","656605","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-07-03T22:45:00.000Z","34.692083","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822715","2026-07-05","2026-07-05T15:03:36.560Z","home","Cade Cavalli","","","home","Cade Cavalli","676917","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-07-05T17:00:00.000Z","116.390667","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822715","2026-07-05","2026-07-05T15:03:36.560Z","away","Bubba Chandler","","","away","Bubba Chandler","696149","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-07-05T17:00:00.000Z","116.390667","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822716","2026-07-04","2026-07-04T14:39:47.382Z","home","Carson Palmquist","687223","PREGAME_LINESCORE_DEFENSE_ID","home","Carson Palmquist","687223","FINAL_PITCHERS_ID","MATCHED","3","2026-07-04T15:05:00.000Z","25.2103","game_id y pitcher_id coinciden; actual_k final válido"
"822716","2026-07-04","2026-07-04T14:39:47.382Z","away","Braxton Ashcraft","","","away","Braxton Ashcraft","677952","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-07-04T15:05:00.000Z","25.2103","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822717","2026-06-25","2026-06-25T20:14:30.015Z","home","Cade Cavalli","676917","PREGAME_LINESCORE_DEFENSE_ID","home","Cade Cavalli","676917","FINAL_BOXSCORE_PLAYER_ID","MATCHED","7","2026-06-25T22:45:00.000Z","150.49975","game_id y pitcher_id coinciden; actual_k final válido"
"822717","2026-06-25","2026-06-25T20:14:30.015Z","away","Cristopher Sánchez","","","away","Cristopher Sánchez","650911","FINAL_BOXSCORE_PLAYER_ID","UNRESOLVED_PREGAME_ID","","2026-06-25T22:45:00.000Z","150.49975","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822718","2026-06-23","2026-06-23T21:41:55.279Z","home","PJ Poulin","676571","PREGAME_LINESCORE_DEFENSE_ID","home","PJ Poulin","676571","FINAL_PITCHERS_ID","MATCHED","1","2026-06-23T22:45:00.000Z","63.078683","game_id y pitcher_id coinciden; actual_k final válido"
"822718","2026-06-23","2026-06-23T21:41:55.279Z","away","Jesús Luzardo","","","away","Jesús Luzardo","666200","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-06-23T22:45:00.000Z","63.078683","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822719","2026-06-24","2026-06-24T21:17:11.177Z","home","Carson Palmquist","687223","PREGAME_LINESCORE_DEFENSE_ID","home","Carson Palmquist","687223","FINAL_PITCHERS_ID","MATCHED","3","2026-06-24T22:45:00.000Z","87.813717","game_id y pitcher_id coinciden; actual_k final válido"
"822719","2026-06-24","2026-06-24T21:17:11.177Z","away","Aaron Nola","","","away","Aaron Nola","605400","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-06-24T22:45:00.000Z","87.813717","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822720","2026-06-22","2026-06-22T21:03:42.603Z","home","Foster Griffin","","","home","Foster Griffin","656492","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-06-22T22:45:00.000Z","101.28995","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822720","2026-06-22","2026-06-22T21:03:42.603Z","away","Tim Mayza","","","away","Tim Mayza","641835","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-06-22T22:45:00.000Z","101.28995","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822721","2026-06-17","2026-06-17T17:04:12.083Z","home","Zack Littell","","","home","Zack Littell","641793","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-06-17T17:05:00.000Z","0.798617","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822721","2026-06-17","2026-06-17T17:04:12.083Z","away","Luinder Avila","","","away","Luinder Avila","679883","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-06-17T17:05:00.000Z","0.798617","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822722","2026-06-14","2026-06-14T17:29:09.101Z","home","PJ Poulin","","","home","PJ Poulin","","","UNRESOLVED_PREGAME_ID","","2026-06-14T17:35:00.000Z","5.848317","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822722","2026-06-14","2026-06-14T17:29:09.101Z","away","Emerson Hancock","","","away","Emerson Hancock","","","UNRESOLVED_PREGAME_ID","","2026-06-14T17:35:00.000Z","5.848317","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822723","2026-06-16","2026-06-16T20:58:51.800Z","home","Foster Griffin","","","home","Foster Griffin","656492","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-06-16T22:45:00.000Z","106.136667","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822723","2026-06-16","2026-06-16T20:58:51.800Z","away","Michael Wacha","","","away","Michael Wacha","608379","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-06-16T22:45:00.000Z","106.136667","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822724","2026-06-15","2026-06-15T22:24:06.844Z","home","Andrew Alvarez","","","home","Andrew Alvarez","674841","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-06-15T22:45:00.000Z","20.885933","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822724","2026-06-15","2026-06-15T22:24:06.844Z","away","Mitch Spence","","","away","Mitch Spence","687765","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-06-15T22:45:00.000Z","20.885933","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822725","2026-06-13","2026-06-13T15:25:39.666Z","home","Cade Cavalli","","","home","Cade Cavalli","","","UNRESOLVED_PREGAME_ID","","2026-06-13T20:05:00.000Z","279.3389","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822725","2026-06-13","2026-06-13T15:25:39.666Z","away","Luis Castillo","","","away","Luis Castillo","","","UNRESOLVED_PREGAME_ID","","2026-06-13T20:05:00.000Z","279.3389","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822726","2026-06-12","2026-06-12T21:09:32.033Z","home","Zack Littell","","","home","Zack Littell","","","UNRESOLVED_PREGAME_ID","","2026-06-12T22:45:00.000Z","95.466117","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822726","2026-06-12","2026-06-12T21:09:32.033Z","away","Bryce Miller","","","away","Bryce Miller","","","UNRESOLVED_PREGAME_ID","","2026-06-12T22:45:00.000Z","95.466117","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822772","2026-08-26","2026-08-26T23:06:14.612Z","home","Spencer Miles","693686","PREGAME_EXPLICIT_ID","home","Spencer Miles","693686","FINAL_PITCHERS_ID","NO_FINAL_RESULT","","2026-08-26T23:07:00.000Z","0.756467","No existe documento final válido para el game_id"
"822772","2026-08-26","2026-08-26T23:06:14.612Z","away","Randy Dobnak","677976","PREGAME_EXPLICIT_ID","away","Randy Dobnak","677976","FINAL_PITCHERS_ID","NO_FINAL_RESULT","","2026-08-26T23:07:00.000Z","0.756467","No existe documento final válido para el game_id"
"822773","2026-08-25","2026-08-25T13:35:46.540Z","home","Max Scherzer","","","home","Max Scherzer","453286","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-08-25T23:07:00.000Z","571.224333","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822773","2026-08-25","2026-08-25T13:35:46.540Z","away","Seth Lugo","","","away","Seth Lugo","607625","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-08-25T23:07:00.000Z","571.224333","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822776","2026-08-13","2026-08-13T18:42:05.020Z","home","Max Scherzer","453286","PREGAME_LINESCORE_DEFENSE_ID","home","Max Scherzer","453286","FINAL_PITCHERS_ID","MATCHED","4","2026-08-13T19:07:00.000Z","24.916333","game_id y pitcher_id coinciden; actual_k final válido"
"822776","2026-08-13","2026-08-13T18:42:05.020Z","away","Payton Tolle","","","away","Payton Tolle","801139","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-08-13T19:07:00.000Z","24.916333","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822777","2026-08-14","2026-08-14T13:34:46.639Z","home","Shane Bieber","","","home","Shane Bieber","669456","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-08-14T23:15:00.000Z","580.222683","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822777","2026-08-14","2026-08-14T13:34:46.639Z","away","Gerrit Cole","","","away","Gerrit Cole","543037","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-08-14T23:15:00.000Z","580.222683","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822784","2026-07-22","2026-07-22T19:27:45.452Z","home","Braydon Fisher","","","home","Braydon Fisher","680755","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-07-22T23:07:00.000Z","219.242467","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822784","2026-07-22","2026-07-22T19:27:45.452Z","away","Griffin Jax","","","away","Griffin Jax","643377","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-07-22T23:07:00.000Z","219.242467","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822785","2026-07-23","2026-07-23T17:27:16.655Z","home","Shane Bieber","669456","PREGAME_LINESCORE_DEFENSE_ID","home","Shane Bieber","669456","FINAL_PITCHERS_ID","MATCHED","3","2026-07-23T19:07:00.000Z","99.722417","game_id y pitcher_id coinciden; actual_k final válido"
"822785","2026-07-23","2026-07-23T17:27:16.655Z","away","Casey Legumina","","","away","Casey Legumina","668984","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-07-23T19:07:00.000Z","99.722417","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822787","2026-07-21","2026-07-21T22:26:27.685Z","home","Kevin Gausman","592332","PREGAME_LINESCORE_DEFENSE_ID","home","Kevin Gausman","592332","FINAL_PITCHERS_ID","MATCHED","1","2026-07-21T23:07:00.000Z","40.538583","game_id y pitcher_id coinciden; actual_k final válido"
"822787","2026-07-21","2026-07-21T22:26:27.685Z","away","Drew Rasmussen","","","away","Drew Rasmussen","656876","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-07-21T23:07:00.000Z","40.538583","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822788","2026-07-20","2026-07-20T16:37:39.764Z","home","Dylan Cease","","","home","Dylan Cease","656302","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-07-20T23:07:00.000Z","389.337267","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822788","2026-07-20","2026-07-20T16:37:39.764Z","away","Nick Martinez","","","away","Nick Martinez","607259","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-07-20T23:07:00.000Z","389.337267","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822789","2026-07-17","2026-07-17T23:14:17.701Z","home","Spencer Miles","693686","PREGAME_LINESCORE_DEFENSE_ID","home","Spencer Miles","693686","FINAL_PITCHERS_ID","MATCHED","4","2026-07-17T23:15:00.000Z","0.704983","game_id y pitcher_id coinciden; actual_k final válido"
"822789","2026-07-17","2026-07-17T23:14:17.701Z","away","Anthony Kay","","","away","Anthony Kay","641743","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-07-17T23:15:00.000Z","0.704983","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822790","2026-07-18","2026-07-18T15:24:15.581Z","home","Shane Bieber","","","home","Shane Bieber","669456","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-07-18T19:07:00.000Z","222.740317","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822790","2026-07-18","2026-07-18T15:24:15.581Z","away","Davis Martin","","","away","Davis Martin","663436","FINAL_PITCHERS_ID","UNRESOLVED_PREGAME_ID","","2026-07-18T19:07:00.000Z","222.740317","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
