game_id,game_date,side,pitcher_id,pitcher_name,stored_last3Ks1,reconstructed_last3Ks1,absolute_difference,historical_game_id,historical_game_date,historical_k,historical_ip,historical_bf,historical_pitch_count,historical_gamesStarted,historical_scheduled_start,historical_record_timestamp,historical_source,historical_competition,causes,evidence,target_game_excluded,future_games_excluded,target_stats_used
824622,2026-04-04,home,691799,Grant Taylor,1.0,0.0,1.0,831904,2026-03-07,0.0,1.0,4.0,13.0,1,2026-03-07T20:10:00+00:00,2026-08-26T19:54:29.468000+00:00,boxscore_stats starter,MLB_SPRING_TRAINING_INFERRED,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP|F_NON_MLB_GAME|J_LAST_APPEARANCE_DEFINITION|I_DIFFERENT_HISTORICAL_GAME_ID,selected history record_timestamp >= target scheduled_start | selected historical competition=MLB_SPRING_TRAINING_INFERRED | stored matches older local appearance at position 2: 823811,True,True,False
823730,2026-04-04,home,690953,Mick Abel,4.0,6.0,2.0,831606,2026-03-19,6.0,4.2,19.0,79.0,1,2026-03-19T22:05:00+00:00,2026-08-26T23:16:54.728000+00:00,boxscore_stats starter,MLB_SPRING_TRAINING_INFERRED,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP|F_NON_MLB_GAME|B_START_VS_RELIEF_APPEARANCE|J_LAST_APPEARANCE_DEFINITION|K_LAST_START_DEFINITION|I_DIFFERENT_HISTORICAL_GAME_ID,"selected history record_timestamp >= target scheduled_start | selected historical competition=MLB_SPRING_TRAINING_INFERRED | stored matches most recent appearance game 824864, not most recent start 831606",True,True,False
825102,2026-04-05,away,527048,Martín Pérez,3.0,1.0,2.0,831453,2026-03-18,1.0,3.2,19.0,64.0,1,2026-03-18T17:05:00+00:00,2026-08-26T23:11:43.591000+00:00,boxscore_stats starter,MLB_SPRING_TRAINING_INFERRED,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP|F_NON_MLB_GAME|B_START_VS_RELIEF_APPEARANCE|J_LAST_APPEARANCE_DEFINITION|K_LAST_START_DEFINITION|I_DIFFERENT_HISTORICAL_GAME_ID,"selected history record_timestamp >= target scheduled_start | selected historical competition=MLB_SPRING_TRAINING_INFERRED | stored matches most recent appearance game 824942, not most recent start 831453",True,True,False
822755,2026-04-06,home,641793,Zack Littell,1.0,3.0,2.0,831452,2026-03-19,3.0,2.2,17.0,64.0,1,2026-03-19T17:05:00+00:00,2026-08-26T23:15:45.069000+00:00,boxscore_stats starter,MLB_SPRING_TRAINING_INFERRED,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP|F_NON_MLB_GAME|B_START_VS_RELIEF_APPEARANCE|J_LAST_APPEARANCE_DEFINITION|K_LAST_START_DEFINITION|I_DIFFERENT_HISTORICAL_GAME_ID,"selected history record_timestamp >= target scheduled_start | selected historical competition=MLB_SPRING_TRAINING_INFERRED | stored matches most recent appearance game 823485, not most recent start 831452",True,True,False
822832,2026-04-06,away,680736,Justin Wrobleski,2.0,3.0,1.0,831809,2026-03-14,3.0,2.1,13.0,68.0,1,2026-03-14T20:05:00+00:00,2026-08-26T20:04:44.914000+00:00,boxscore_stats starter,MLB_SPRING_TRAINING_INFERRED,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP|F_NON_MLB_GAME|B_START_VS_RELIEF_APPEARANCE|J_LAST_APPEARANCE_DEFINITION|K_LAST_START_DEFINITION|I_DIFFERENT_HISTORICAL_GAME_ID,"selected history record_timestamp >= target scheduled_start | selected historical competition=MLB_SPRING_TRAINING_INFERRED | stored matches most recent appearance game 823972, not most recent start 831809",True,True,False
823728,2026-04-06,home,657746,Joe Ryan,3.0,7.0,4.0,824865,2026-03-26,7.0,5.1,19.0,85.0,1,2026-03-26T19:05:00+00:00,2026-07-10T19:47:35.633000+00:00,boxscore_stats starter,MLB_REGULAR_SEASON_INFERRED,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP|M_UNEXPLAINED,selected history record_timestamp >= target scheduled_start,True,True,False
823400,2026-04-13,away,676917,Cade Cavalli,1.0,3.0,2.0,822754,2026-04-07,3.0,4.2,20.0,94.0,1,2026-04-07T22:45:00+00:00,2026-08-26T23:50:58.027000+00:00,boxscore_stats starter,MLB_REGULAR_SEASON_INFERRED,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP|G_DIFFERENT_TEMPORAL_ORDER|I_DIFFERENT_HISTORICAL_GAME_ID,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 4: 831448,True,True,False
822818,2026-05-11,away,656876,Drew Rasmussen,5.0,6.0,1.0,822992,2026-04-24,6.0,6.0,24.0,98.0,1,2026-04-24T23:10:00+00:00,2026-08-27T00:32:35.122000+00:00,boxscore_stats starter,MLB_REGULAR_SEASON_INFERRED,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP|M_UNEXPLAINED,selected history record_timestamp >= target scheduled_start,True,True,False
823953,2026-05-11,home,808963,Roki Sasaki,4.0,5.0,1.0,823960,2026-04-25,5.0,5.0,23.0,99.0,1,2026-04-25T23:15:00+00:00,2026-08-27T00:37:25.762000+00:00,boxscore_stats starter,MLB_REGULAR_SEASON_INFERRED,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP|G_DIFFERENT_TEMPORAL_ORDER|I_DIFFERENT_HISTORICAL_GAME_ID,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 5: 823972,True,True,False
824199,2026-05-11,home,663567,Peter Lambert,4.0,8.0,4.0,824449,2026-04-22,8.0,6.0,24.0,96.0,1,2026-04-22T17:10:00+00:00,2026-08-27T00:28:23.177000+00:00,boxscore_stats starter,MLB_REGULAR_SEASON_INFERRED,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP|M_UNEXPLAINED,selected history record_timestamp >= target scheduled_start,True,True,False
