game_id,pitcher_id,pitcher_name,game_date,snapshot_captured_at,team,opponent,side,pitcher_k_pct,pitcher_so_rate,pitcher_swstr_pct,pitcher_csw_pct,pitcher_bb_pct,pitcher_fip,pitcher_xfip,pitcher_siera,pitcher_xera,pitcher_last5_ks_avg,pitcher_last5_ip_avg,pitcher_last5_bf_avg,pitcher_last5_pitch_count_avg,projected_pitches,projected_innings,pitches_last_start,pitches_last_3_starts,days_since_last_start,opponent_lineup_k_pct,opponent_offense_ops,opponent_offense_woba,opponent_offense_xwoba,park_factor_k,weather_temp,weather_wind_speed,projected_strikeouts,actual_k
"825039","571510","Matthew Boyd","2026-08-26","2026-08-26T17:46:26.727Z","Chicago Cubs","Arizona Diamondbacks","away","18.6","18.6","11","28.2","7.3","4.79","3.81","4.29","5.01","3.2","6.4","27","92","97","6.2","86","281","5","17.672005943536405","0.715","0.314","0.321","90","46.4","2.3","4.92","5"
"825039","593958","Eduardo Rodriguez","2026-08-26","2026-08-26T17:46:26.727Z","Arizona Diamondbacks","Chicago Cubs","home","17.3","17.3","9.8","25.8","7.7","3.9","3.94","4.31","4.59","4.8","6.5","26","103","102","6.1","99","310","5","19.44780264222162","0.762","0.334","0.319","90","46.4","2.3","4.84","9"
"823180","657277","Logan Webb","2026-08-26","2026-08-26T17:47:36.942Z","San Francisco Giants","Cincinnati Reds","home","19.4","19.4","9.8","27.8","6.1","3.45","3.36","4.19","3.83","4.6","5.7","23","88","89","5.2","70","250","5","25.2092936802974","0.694","0.306","0.303","97","23.2","5.4","4.83","6"
"823180","666157","Nick Lodolo","2026-08-26","2026-08-26T17:47:36.942Z","Cincinnati Reds","San Francisco Giants","away","17.5","17.5","10.1","26.8","9.2","5.52","4.34","4.79","6.49","3.4","4.7","21.4","82","84","4.2","91","234","5","29.796842105263167","0.711","0.31","0.281","97","23.2","5.4","4.6","5"
"823988","676282","Joey Cantillo","2026-08-26","2026-08-26T17:48:23.525Z","Cleveland Guardians","Los Angeles Angels","away","25.5","25.5","13.8","31.6","11.2","3.98","3.5","3.68","3.88","5.6","4.1","17.8","75","70","3.2","89","207","5","25.949242157208317","0.686","0.303","0.298","105","35.4","11.8","4.84","1"
"823988","680570","Grayson Rodriguez","2026-08-26","2026-08-26T17:48:23.525Z","Los Angeles Angels","Cleveland Guardians","home","20.5","20.5","11.8","27","10.1","4.91","4.04","4.33","5.78","6.2","5.4","22.4","93","91","5.1","99","271","6","18.377225052442316","0.685","0.304","0.314","105","35.4","11.8","5.14","4"
"823255","681190","Randy Vásquez","2026-08-26","2026-08-26T17:49:13.800Z","San Diego Padres","Pittsburgh Pirates","home","14.9","14.9","9.6","24.8","6.4","4.54","4.16","4.62","5.71","1","4.7","17.4","63","66","5","87","239","5","23.528447474434454","0.736","0.324","0.327","102","34.8","12.9","2.91","2"
"823255","696149","Bubba Chandler","2026-08-26","2026-08-26T17:49:13.800Z","Pittsburgh Pirates","San Diego Padres","away","20.8","20.8","10.8","26.3","12.1","4.25","4.19","4.44","4.08","4.8","4.9","21","89","90","5","88","260","5","19.902671854734113","0.703","0.31","0.319","102","34.8","12.9","4.68","3"
"823096","666200","Jesús Luzardo","2026-08-26","2026-08-26T17:50:16.221Z","Philadelphia Phillies","Seattle Mariners","away","30.1","30.1","14.6","32.8","7.3","2.96","2.54","2.95","2.87","8.4","6.7","27.2","103","103","6.2","110","319","5","23.58543365455893","0.687","0.304","0.305","118","20.9","8","7.5","9"
"823096","693433","Bryan Woo","2026-08-26","2026-08-26T17:50:16.221Z","Seattle Mariners","Philadelphia Phillies","home","24.3","24.3","13.2","27.3","5.2","3.41","3.13","3.19","3.56","5.6","5.6","22.6","89","88","5.2","75","258","10","19.282527059863042","0.715","0.313","0.325","118","20.9","8","5.72","5"
