"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","miss_distance","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"SI","2026-09-14","95.6","-1.26","5.54","Guerrero Jr., Vladimir",665489,675512,"field_out","hit_into_play",,,,,4,"Vladimir Guerrero Jr. grounds out, shortstop Kevin McGonigle to first baseman Spencer Torkelson.","R","R","R","TOR","DET","X",6,"ground_ball",1,1,2026,"-1.27","0.74",-0.6005299334008958,2.691946214359549,665926,676391,543807,2,2,"Bot",111.93,162.54,,,,,4.674843668610385,-139.2415232553983,-3.4571635090175254,-17.57826473642839,29.644678768149156,-21.981314668272205,3.208595801,1.619291339,5,"78",-28,"96.8",2152,"6.8",822765,693307,679529,650402,701678,805808,814430,703601,656716,"53.68",0.041,0.037,"0",1,0,0,2,18,3,"Sinker",2,0,2,0,0,2,2,0,"Standard","Standard",213,"-0.048","-0.24","77.4","6.9",,0.041,"0.24","88.0",2,2,0.76,0.76,25,27,26,27,2,1,,,,,"1.74","1.27","1.27",,-8.250158482141583,5.772428258899565,28.33288577665896,28.61707547972059,25.750962177383336
"SI","2026-09-14","97.3","-1.31","5.53","Guerrero Jr., Vladimir",665489,675512,,"called_strike",,,,,9,,"R","R","R","TOR","DET","S",,,1,0,2026,"-1.18","0.96",0.38428700970920127,1.559241859595134,665926,676391,543807,2,2,"Bot",,,,,,,7.299423921300065,-141.5186383014125,-7.21438008174579,-17.52432184361557,30.36800417653765,-17.827978124302067,3.208595801,1.619291339,,,,"98.4",2104,"6.8",822765,693307,679529,650402,701678,805808,814430,703601,656716,"53.69",,,,,,,,18,2,"Sinker",2,0,2,0,0,2,2,0,"Standard","Standard",214,"-0.01","-0.04",,,,,"0.04",,2,2,0.77,0.77,25,27,26,27,2,1,,,,,"1.44","1.18","1.18",,,,,,
"SL","2026-09-14","89.9","-1.41","5.47","Guerrero Jr., Vladimir",665489,675512,,"blocked_ball",,,,,14,,"R","R","R","TOR","DET","B",,,0,0,2026,"0.53","0.16",1.863317186276858,0.45085589302307616,665926,676391,543807,2,2,"Bot",,,,,,,6.936382792248474,-130.86243247108357,-6.6930846318288175,4.873722087581012,24.208696458399068,-29.27828260662167,3.208595801,1.619291339,,,,"91.5",2453,"6.9",822765,693307,679529,650402,701678,805808,814430,703601,656716,"53.55",,,,,,,,18,1,"Slider",2,0,2,0,0,2,2,0,"Standard","Standard",129,"0.007","0.029",,,,,"-0.029",,2,2,0.763,0.763,25,27,26,27,2,1,,,,,"2.63","-0.53","-0.53",,,,,,
"SL","2026-09-14","89.9","-1.49","6.23","Guerrero Jr., Vladimir",665489,689225,"walk","ball",,,,,13,"Vladimir Guerrero Jr. challenged (pitch result), call on the field was overturned: Vladimir Guerrero Jr. walks.","R","R","R","TOR","DET","B",,,3,2,2026,"0.23","0.56",-0.20494130452368542,1.421188359949484,,,,2,4,"Bot",,,,,,,2.622857624732908,-131.02161933952078,-6.966415874735409,2.229200255106659,22.866263379499113,-24.588946454019453,3.208595801,1.619291339,,,,"90",2394,"5.9",822765,693307,679529,650402,701678,805808,814430,703601,656716,"54.6",,0.69862,"0.7",1,0,0,,33,6,"Slider",2,0,2,0,0,2,2,0,"Strategic","Standard",191,"0.007","0.291",,,,,"-0.291",,2,2,0.76,0.76,28,27,28,27,1,2,,,,,"2.21","-0.23","-0.23",,,,,,
"FF","2026-09-14","94.7","-1.39","6.23","Guerrero Jr., Vladimir",665489,689225,,"swinging_strike",,,,,5,,"R","R","R","TOR","DET","S",,,3,1,2026,"-0.48","1.58",0.24849721231471855,2.199263639805779,,,,2,4,"Bot",,,,,,,5.2780811305410245,-137.67035794786554,-8.18283893794129,-7.290074439924571,28.501474706656722,-10.390247319469626,3.208595801,1.619291339,,,,"94.4",2548,"6",822765,693307,679529,650402,701678,805808,814430,703601,656716,"54.49",,,,,,,,33,5,"4-Seam Fastball",2,0,2,0,0,2,2,0,"Standard","Standard",202,"-0.002","-0.095","85.0","8.5","0.243843252",,"0.095",,2,2,0.762,0.762,28,27,28,27,1,2,,,,,"0.95","0.48","0.48",,9.214406410281665,-19.48969503466309,29.860936111287163,37.817352252101344,41.28622133053197
"FF","2026-09-14","94.7","-1.27","6.15","Guerrero Jr., Vladimir",665489,689225,,"ball",,,,,14,,"R","R","R","TOR","DET","B",,,2,1,2026,"-0.56","1.6",0.12783663408884682,0.6944595823496715,,,,2,4,"Bot",,,,,,,4.841495570640194,-137.55566443918082,-11.92430847879232,-8.099827981199958,26.428641273882672,-9.51604663617595,3.208595801,1.619291339,,,,"94.9",2511,"6.2",822765,693307,679529,650402,701678,805808,814430,703601,656716,"54.32",,,,,,,,33,4,"4-Seam Fastball",2,0,2,0,0,2,2,0,"Strategic","Standard",201,"0.002","0.101",,,,,"-0.101",,2,2,0.76,0.76,28,27,28,27,1,2,,,,,"0.92","0.56","0.56",,,,,,
"SL","2026-09-14","89.6","-1.55","6.18","Guerrero Jr., Vladimir",665489,689225,,"called_strike",,,,,5,,"R","R","R","TOR","DET","S",,,2,0,2026,"0.52","0.37",-0.18908015289029168,2.281573952903535,,,,2,4,"Bot",,,,,,,2.1898391352632895,-130.63482232643454,-4.26362340369964,5.532342945357175,24.94235142434026,-27.25360821058022,3.208595801,1.619291339,,,,"89.4",2310,"5.9",822765,693307,679529,650402,701678,805808,814430,703601,656716,"54.64",,,,,,,,33,3,"Slider",2,0,2,0,0,2,2,0,"Strategic","Standard",178,"-0.001","-0.066",,,,,"0.066",,2,2,0.761,0.761,28,27,28,27,1,2,,,,,"2.43","-0.52","-0.52",,,,,,
"SI","2026-09-14","96","-1.43","6.15","Guerrero Jr., Vladimir",665489,689225,,"ball",,,,,13,,"R","R","R","TOR","DET","B",,,1,0,2026,"-1.13","1.19",-0.33498098723943803,1.3828921794912425,,,,2,4,"Bot",,,,,,,5.430565071364408,-139.4849581327911,-9.51549699079765,-15.905996832976964,29.108081396198145,-14.703564853986705,3.208595801,1.619291339,,,,"96.1",2570,"6.3",822765,693307,679529,650402,701678,805808,814430,703601,656716,"54.23",,,,,,,,33,2,"Sinker",2,0,2,0,0,2,2,0,"Standard","Standard",204,"0.001","0.065",,,,,"-0.065",,2,2,0.76,0.76,28,27,28,27,1,2,,,,,"1.27","1.13","1.13",,,,,,
"SI","2026-09-14","95","-1.42","6.13","Guerrero Jr., Vladimir",665489,689225,,"ball",,,,,14,,"R","R","R","TOR","DET","B",,,0,0,2026,"-1.1","1.3",0.3556927138492161,0.24327950106523355,,,,2,4,"Bot",,,,,,,7.042480508656688,-137.70680582972724,-12.367331670489621,-15.49754081354997,29.100167905174573,-13.029171595787748,3.208595801,1.619291339,,,,"94.7",2425,"6.2",822765,693307,679529,650402,701678,805808,814430,703601,656716,"54.28",,,,,,,,33,1,"Sinker",2,0,2,0,0,2,2,0,"Standard","Standard",209,"0.001","0.041",,,,,"-0.041",,2,2,0.759,0.759,28,27,28,27,1,2,,,,,"1.23","1.1","1.1",,,,,,
"FC","2026-09-14","94.6","-1.51","5.48","Guerrero Jr., Vladimir",665489,675512,"field_out","hit_into_play",,,,,6,"Vladimir Guerrero Jr. grounds out, second baseman Gleyber Torres to first baseman Spencer Torkelson. Brett Bateman to 3rd. George Springer to 2nd.","R","R","R","TOR","DET","X",4,"ground_ball",3,2,2026,"0.26","0.57",0.7257296121552453,2.5593160798806425,,703520,543807,0,1,"Bot",139.77,163.75,,,,,5.2125471410126405,-137.8676702739841,-3.1276063579669975,2.264232487517969,27.501775049866023,-24.37879377441815,3.208595801,1.619291339,2,"82.3",-44,"96",2395,"6.8",822765,693307,679529,650402,701678,805808,814430,703601,656716,"53.73",0.124,0.115,"0",1,0,0,2,6,6,"Cutter",0,0,0,0,0,0,0,0,"Standard","Standard",197,"-0.013","-0.392","72.3","6.8",,0.124,"0.392","88.0",0,0,0.646,0.646,25,27,26,27,1,0,,,,,"1.95","-0.26","-0.26",,-15.621091048376124,18.625549431264954,26.0748443138219,43.05040077361066,17.19822297731139
